Image_Name,1,2,3,4
left_corner0,2350,0,0,0
left_corner1,1042,2922,0,0
left_corner2,0,1610,0,3734
left_corner3,0,314,0,2450
left_corner4,0,0,0,1374
left_straight0,3914,0,0,0
left_straight1,2306,0,0,0
left_straight2,1246,3746,0,0
