Image_Name,1,2,3,4
left_corner0,2404,0,0,0
left_corner1,1096,2976,0,0
left_corner2,0,1664,0,3788
left_corner3,0,368,0,2504
left_corner4,0,0,0,1428
left_straight0,3968,0,0,0
left_straight1,2360,0,0,0
left_straight2,1300,3800,0,0
