frame,yaw,pitch,roll,q0,q1,q2,q3,lat,lon
frame0,-0.06955496017282552,-1.5687588137806823,0.0714268649440262,0.70782470703125,-0.70465087890625,0.0498046875,0.0006103515625,32.881147,-117.2347021
frame1,0.4446390345480328,-1.549885107579143,0.05344088851869099,0.6925048828125,-0.68646240234375,-0.1356201171875,0.17572021484375,32.88112385,-117.234749
frame2,1.0205762103801954,-1.5396051952218204,0.035957335707359595,0.620361328125,-0.613525390625,-0.32861328125,0.361572265625,32.881124283333335,-117.23474756666667
frame3,1.456597700268768,-1.5446432200481224,0.024912050654745145,0.52874755859375,-0.52667236328125,-0.457763671875,0.48321533203125,0.0,0.0
frame4,2.475611140145893,-1.5370158869263455,0.01193321505659904,0.22039794921875,-0.2315673828125,-0.66583251953125,0.67413330078125,32.88112246666667,-117.2347433
frame5,3.0379789328609332,-1.5879360571580226,0.01760777916054139,0.030029296875,-0.0430908203125,-0.71185302734375,0.70037841796875,0.0,0.0
frame6,-2.776279793862286,-1.602649665867165,0.022389226054808302,-0.13427734375,0.122802734375,-0.70770263671875,0.68267822265625,32.88112246666667,-117.2347433
frame7,-2.3882451783007617,-1.6142733207747524,0.029895660825700082,-0.264404296875,0.25604248046875,-0.67535400390625,0.6390380859375,32.88110963333333,-117.23455113333333
frame8,-2.0768645888079544,-1.616398081187604,0.044977338223160364,-0.36456298828125,0.353515625,-0.63067626953125,0.5867919921875,32.88110963333333,-117.23455113333333
frame9,-1.4944765486019644,-1.5998611352774041,0.05664396211257956,-0.52471923828125,0.5125732421875,-0.50177001953125,0.45843505859375,32.88112911666666,-117.23458893333333
frame10,-0.8995629206549965,-1.5879650843856965,0.07492290042006344,-0.6424560546875,0.63037109375,-0.33349609375,0.280517578125,32.88112911666666,-117.23458893333333
frame11,-0.4273877135717143,-1.57572981657599,0.08683490186661622,-0.6951904296875,0.68560791015625,-0.18011474609375,0.119384765625,32.88112686666667,0.0
frame12,0.1363217097893951,-1.5577735411823794,0.07951550079991387,-0.70758056640625,0.7022705078125,0.01959228515625,-0.0762939453125,32.88112686666667,0.0
frame13,0.5749250438836573,-1.5509262124160246,0.07056290222147733,-0.6773681640625,0.67803955078125,0.1741943359375,1.77398681640625,32.88117581666667,-117.23482043333334
