,Intensity
0,0.19591541623710884
1,0.17111322742311905
2,0.14757264175506202
3,0.12531957676225577
4,0.1044078905876052
5,0.08492278193490445
6,0.06698206328227686
7,0.050735215343586014
8,0.036360249272916735
9,0.024058520105064384
10,0.01404774413597414
11,0.0065535685317084
12,0.0018001183204019934
13,0.0
14,0.0013442694611419412
15,0.005992873348892177
16,0.014066047410056116
17,0.02563710429822658
18,0.04072696961926035
19,0.059300732794614196
20,0.08126637368661904
21,0.10647571266388542
22,0.13472751706920855
23,0.16577258711617263
24,0.19932054501921548
25,0.2350479679696888
26,0.2726074428120434
27,0.31163708120504935
28,0.35177002060380624
29,0.3926434490745944
30,0.433906729812984
31,0.4752282619428602
32,0.5163007941405612
33,0.5568450022131157
34,0.5966112455309586
35,0.635379524257503
36,0.6729577635596599
37,0.709178646541189
38,0.7438952991427039
39,0.7769761931412054
40,0.8082996741659793
41,0.8377485380948971
42,0.8652050704564026
43,0.8905469301172986
44,0.9136442025588297
45,0.9343578726897749
46,0.9525398767710406
47,0.9680347928407409
48,0.9806831248029199
49,0.9903260330849024
50,0.9968112703850793
51,1.0
52,0.9997741112707542
53,0.9960436055495826
54,0.9887536092648447
55,0.977890579298603
56,0.9634872996986046
57,0.9456263260180418
58,0.9244416112775223
59,0.9001181414759343
60,0.8728895136102809
61,0.8430334995180885
62,0.8108657484193169
63,0.7767318837042609
64,0.7409983395343354
65,0.7040423551056229
66,0.6662415948346241
67,0.6279638883106127
68,0.589557583020346
69,0.5513429754354259
70,0.5136052333659507
71,0.4765891472254174
72,0.44049595396826946
73,0.4054823699372904
74,0.3716618534430408
75,0.3391080007949897
76,0.30785986703166457
77,0.27792890084253075
78,0.2493070976605011
79,0.22197591028822994
