,Intensity
0,0.24332516233480897
1,0.21377875503033436
2,0.18478215989665323
3,0.15658939744852965
4,0.12951245278229992
5,0.10391231901658028
6,0.08018669117822058
7,0.05875492761994035
8,0.04004105077652907
9,0.024455671907527253
10,0.012377789176828536
11,0.004137421371977267
12,0.0
13,0.00015335253421075863
14,0.004697974120507975
15,0.013641111479295922
16,0.026894980552432255
17,0.04427921970968734
18,0.06552745507553244
19,0.09029763609523614
20,0.1181855997822814
21,0.14874115209311792
22,0.18148582384025075
23,0.21593137361165388
24,0.251598075906401
25,0.28803185092332123
26,0.32481936206340295
27,0.36160032431159017
28,0.3980764247239252
29,0.43401644648769194
30,0.46925739990884163
31,0.5037016854952197
32,0.5373105337965499
33,0.5700941717264347
34,0.6020993444336034
35,0.6333949655501938
36,0.6640567689430136
37,0.6941518864613576
38,0.7237242758560366
39,0.7527818711464959
40,0.7812862271984232
41,0.809145286794685
42,0.836209720063921
43,0.8622730827289502
44,0.8870758225831663
45,0.9103129449780845
46,0.9316449400691786
47,0.9507113886859895
48,0.9671465102976065
49,0.9805958041610602
50,0.9907328696145447
51,0.9972754772330945
52,1.0
53,0.9987534006947553
54,0.9934621035352403
55,0.9841372474317341
56,0.970876015624731
57,0.9538589510393993
58,0.9333433864947339
59,0.9096533317582395
60,0.8831663535226174
61,0.8542981489199941
62,0.8234856390373059
63,0.7911694890489978
64,0.757776991566261
65,0.7237062279201464
66,0.6893123495273272
67,0.6548967022206108
68,0.620699357040068
69,0.586895420281852
70,0.5535952841379138
71,0.5208487587378409
72,0.4886528090415797
73,0.4569624178827287
74,0.425703920748779
75,0.39479001837690697
76,0.3641355777179555
77,0.333673285627683
78,0.30336822541183045
79,0.2732305038381608
