Image_Name,1,2,3,4
right_corner0,2308,0,0,0
right_corner1,1000,2888,0,0
right_corner2,0,1596,0,3704
right_corner3,0,276,0,2432
right_corner4,0,0,0,1356
right_straight0,3904,0,0,0
right_straight1,2260,0,0,0
right_straight2,1188,3736,0,0
