frame,X,Y,Z,yaw,pitch,roll,lat,lon
frame0,6.4375,-1.1875,92.1875,-0.13441259672567257,-1.6096504472470674,0.02083347940049916,0.0,0.0
frame1,81.75,-1.1875,91.5625,-1.4483936806352145,-1.5982582202950744,0.020455930179869804,0.0,0.0
frame2,82.1875,-0.875,91.5625,-1.4518887589092682,-1.599033506795142,0.016171653609494557,0.0,0.0
frame3,82.125,-0.6875,91.25,-1.4461909267903754,-1.592755909295144,0.012379426048607955,0.0,0.0
