,Intensity
0,0.28662349649728874
1,0.2518149134296852
2,0.2184474102493126
3,0.18677719780406873
4,0.15704220991585846
5,0.12945788030666194
6,0.1042138835854497
7,0.08147197093870391
8,0.061364966664146536
9,0.04399692391222138
10,0.029444370868650108
11,0.017758515994077184
12,0.008968226443016467
13,0.0030835505561652744
14,9.952585697060077e-05
15,0.0
16,0.0027611944465867023
17,0.00835475918443795
18,0.01675010053745726
19,0.02791581113477412
20,0.04182008876292038
21,0.058430095834200564
22,0.0777102798537028
23,0.09961974361700107
24,0.12410881797262556
25,0.1511150461063513
26,0.18055883314087218
27,0.21233904570117898
28,0.2463288610449592
29,0.28237216334858495
30,0.320280765664234
31,0.3598327007648914
32,0.40077177432466915
33,0.4428085122126783
34,0.48562256336047255
35,0.5288665444497999
36,0.5721712366130653
37,0.6151519715751177
38,0.6574159791735716
39,0.6985704135910831
40,0.7382307349626196
41,0.7760290985940675
42,0.8116223972894726
43,0.844699613728357
44,0.8749881689809206
45,0.9022589986594812
46,0.9263301475638084
47,0.9470687439131311
48,0.9643912917056012
49,0.9782623003504308
50,0.9886913502476223
51,0.9957287672691092
52,0.9994601442276008
53,1.0
54,0.9974849042725205
55,0.9920664159860276
56,0.9839041855006422
57,0.9731595542609432
58,0.9599899522957098
59,0.9445443451169531
60,0.9269599201961344
61,0.907360132561004
62,0.8858541530264701
63,0.8625376852695308
64,0.8374950435495596
65,0.810802315346467
66,0.7825313761288332
67,0.7527544798659453
68,0.7215491210042564
69,0.6890028528077199
70,0.6552177536384542
71,0.6203142563908799
72,0.5844340954236702
73,0.5477421776501161
74,0.5104272469289949
75,0.47270127998313455
76,0.43479762385866677
77,0.39696795539846375
78,0.35947820841222056
79,0.32260367057614653
