,Intensity
0,0.22989890038209287
1,0.20175642305404676
2,0.17448275178339367
3,0.14824335034317254
4,0.12324411702554167
5,0.09972801335361899
6,0.07796918382444087
7,0.058264832137713427
8,0.0409252421863012
9,0.026262434250485064
10,0.014578022801513615
11,0.006150887964607585
12,0.0012252855540956715
13,0.0
14,0.0026190915857363067
15,0.009164707120886802
16,0.01965231598908885
17,0.034028607297389026
18,0.05217214549531818
19,0.07389673886238145
20,0.09895733544951651
21,0.12705813197775903
22,0.15786246981273974
23,0.19100400442409834
24,0.2260985753654513
25,0.26275617586520666
26,0.300592425956432
27,0.33923899024416
28,0.37835244868111484
29,0.4176212222182005
30,0.45677026960081296
31,0.49556340044794017
32,0.5338031858523473
33,0.5713285834766787
34,0.6080105219383313
35,0.6437458020874705
36,0.6784497643563682
37,0.7120482366658983
38,0.7444693128663888
39,0.7756355154887422
40,0.8054568685871552
41,0.8338253483445159
42,0.8606110942461151
43,0.8856606568608325
44,0.9087974356772378
45,0.9298243289831711
46,0.9485284849020141
47,0.9646879159362387
48,0.9780796259043542
49,0.9884888044335339
50,0.9957185755255025
51,0.9995997470847431
52,1.0
53,0.9968319789646009
54,0.99005980148392
55,0.979703583506395
56,0.9658416853271983
57,0.9486105040407347
58,0.9282017720635766
59,0.9048574577048141
60,0.8788624958198613
61,0.8505356968623055
62,0.820219284396377
63,0.788267588610527
64,0.7550354721704001
65,0.7208670820366339
66,0.6860855055557359
67,0.6509838619205167
68,0.6158182834668586
69,0.5808031393364059
70,0.5461087323107964
71,0.5118615647413381
72,0.4781471288321799
73,0.44501503779734347
74,0.41248618523064495
75,0.3805615075238724
76,0.3492318345659728
77,0.31848825223460864
78,0.2883323698133463
79,0.25878588818269105
