,Intensity
0,0.2917011980233445
1,0.25650346477735403
2,0.2225162705894516
3,0.19005234592472817
4,0.15941353588910204
5,0.1308831316598046
6,0.10471901628164422
7,0.08114794666273926
8,0.06036122523357057
9,0.04251193298606037
10,0.027713805205322406
11,0.01604173732867428
12,0.0075338163689606195
13,0.0021946884475129097
14,0.0
15,0.0009015932582239068
16,0.004833098865307976
17,0.011715552043579472
18,0.021462664482592923
19,0.03398541166300585
20,0.04919564305425944
21,0.06700848774325144
22,0.08734340679832633
23,0.11012383149620163
24,0.13527541836289037
25,0.1627230424854562
26,0.1923867344825205
27,0.2241768389744406
28,0.25798872909932197
29,0.2936974491818718
30,0.3311526737509937
31,0.37017436459285535
32,0.41054947856357815
33,0.4520300288811475
34,0.4943327341740109
35,0.5371404063430326
36,0.5801051348045175
37,0.6228532260445353
38,0.6649917590707305
39,0.7061165247651466
40,0.7458210355081548
41,0.7837062253808783
42,0.8193904145570712
43,0.8525190869230213
44,0.8827740290782425
45,0.9098814019466949
46,0.9336183622384525
47,0.9538179176588859
48,0.9703717836464931
49,0.98323110615837
50,0.9924050195250513
51,0.9979571151337894
52,1.0
53,0.9986882186472026
54,0.994209892099159
55,0.9867774898997225
56,0.9766181915964189
57,0.9639643108919583
58,0.9490442477967502
59,0.9320744020433364
60,0.9132524264882106
61,0.8927521251724838
62,0.8707202111291237
63,0.8472750387300189
64,0.8225073197437394
65,0.7964827269820118
66,0.7692461900713546
67,0.7408275997779082
68,0.7112485650945853
69,0.6805298147476664
70,0.6486988045926013
71,0.6157970860186558
72,0.581887008141428
73,0.5470573670981078
74,0.5114276768007994
75,0.47515081357299094
76,0.43841387780772473
77,0.4014372140938977
78,0.36447163172389324
79,0.327793964602483
