,Intensity
0,0.23498772082336009
1,0.20755911669883975
2,0.18066253583522604
3,0.15445622778386262
4,0.1291624938578183
5,0.1050636840855943
6,0.08249430193516592
7,0.061829585128922754
8,0.04347112742330406
9,0.027830272529319345
10,0.015310138233469366
11,0.006287209232048971
12,0.0010934667497609185
13,0.0
14,0.0032029701689776286
15,0.010812675895223427
16,0.022846306794977317
17,0.03922477730879004
18,0.05977381761885395
19,0.08422927337465624
20,0.11224634374760954
21,0.143412280033031
22,0.17726188592455647
23,0.21329501554735314
24,0.25099516421141527
25,0.28984819507381443
26,0.3293602452022077
27,0.3690739067707493
28,0.40858188029890846
29,0.4475374412846257
30,0.4856612412347061
31,0.5227441689843473
32,0.558646216978419
33,0.5932915177694738
34,0.626659926205223
35,0.6587757110597288
36,0.6896940758701536
37,0.7194863439394111
38,0.7482247105921372
39,0.775967483180949
40,0.8027456952005301
41,0.8285518972051761
42,0.8533317988099686
43,0.8769792701317792
44,0.8993350169101091
45,0.920189032110655
46,0.9392867098766501
47,0.9563382973695747
48,0.9710311680679783
49,0.9830442371783468
50,0.9920637150401116
51,0.9977993147363898
52,1.0
53,0.9984683806196506
54,0.9930729337418197
55,0.9837573467809578
56,0.9705464345783218
57,0.9535482712662112
58,0.9329523855557662
59,0.909024085286726
60,0.8820951909700687
61,0.8525516568045246
62,0.8208187301718188
63,0.7873444372785755
64,0.7525822757622248
65,0.7169740394715085
66,0.6809336937275472
67,0.6448331614723231
68,0.608990774951379
69,0.5736629997492747
70,0.5390398562332809
71,0.5052442577887775
72,0.4723352670133877
73,0.440315052352444
74,0.40913912062554697
75,0.37872921700565587
76,0.3489881334981124
77,0.31981555822715646
78,0.2911240369748132
79,0.2628541088992409
