,Intensity
0,0.2178722530867833
1,0.1888507322507667
2,0.16131225756662354
3,0.1353880986718383
4,0.11121881147831365
5,0.08895528749524385
6,0.06875878722996279
7,0.05079987791960462
8,0.03525625492388113
9,0.022309487581318874
10,0.012140790898720317
11,0.004925980828208552
12,0.0008298200088934386
13,0.0
14,0.0025610330153214666
15,0.008608339429520166
16,0.018202816035169937
17,0.03136615412808099
18,0.04807714670890741
19,0.06826918187471642
20,0.09182906696338447
21,0.11859726788667656
22,0.14836958343296924
23,0.18090020846972696
24,0.21590607632479275
25,0.25307231245222744
26,0.2920585817767551
27,0.3325060733923777
28,0.3740448405067289
29,0.41630120192530895
30,0.4589049144529451
31,0.5014958430678444
32,0.543729886548496
33,0.585283958654567
34,0.6258598766249733
35,0.6651870668293567
36,0.7030240587449965
37,0.7391587997350931
38,0.7734078811149344
39,0.8056148176589837
40,0.8356475653498483
41,0.8633954936429101
42,0.8887660472960227
43,0.9116813380824149
44,0.9320748984088698
45,0.9498888076925774
46,0.9650713697075246
47,0.977575477016613
48,0.9873577495888478
49,0.994378481653957
50,0.9986023768610538
51,1.0
52,0.9985498268800908
53,0.9942407350908967
54,0.9870747494821717
55,0.9770698388950662
56,0.9642625558862749
57,0.9487103191163261
58,0.9304931581982901
59,0.9097147718982586
60,0.8865027907892647
61,0.8610081824089311
62,0.8334037878936602
63,0.803882030965301
64,0.772651889977301
65,0.739935268549235
66,0.7059629374750381
67,0.6709702478606838
68,0.6351928311698195
69,0.5988625050286914
70,0.5622035939765571
71,0.5254298522932217
72,0.4887421427517964
73,0.4523269824438182
74,0.4163560170668099
75,0.38098643103533425
76,0.3463622455228419
77,0.3126164032097798
78,0.279873490167142
79,0.24825290475732106
