,Intensity
0,0.2731920786849493
1,0.24045197446294778
2,0.20946419589881843
3,0.18036274012519485
4,0.15325155900266815
5,0.12820776646846455
6,0.10528616081745092
7,0.0845247573095014
8,0.06595096357180884
9,0.049587988251939386
10,0.035461054842314765
11,0.023602998791113345
12,0.014058856801379171
13,0.006889111076239829
14,0.002171325363318753
15,0.0
16,0.00048457483950062764
17,0.0037456163538622227
18,0.009909332411012453
19,0.01910065922420435
20,0.03143525408848418
21,0.04701079968025313
22,0.06589807673197025
23,0.08813228876634317
24,0.1137051235510024
25,0.14255801068972573
26,0.1745769844057006
27,0.2095894875777425
28,0.24736336118960783
29,0.2876081573211528
30,0.3299787992130136
31,0.37408149482904995
32,0.4194816969391431
33,0.46571379908937904
34,0.512292168452603
35,0.5587230481893336
36,0.6045168172626224
37,0.6492000770424201
38,0.6923270425125028
39,0.7334897510125267
40,0.7723266613402686
41,0.8085292975102186
42,0.8418466901700911
43,0.8720874793566751
44,0.899119659039525
45,0.9228680605590414
46,0.9433097824463011
47,0.9604678724099558
48,0.9744036483609815
49,0.9852081050424177
50,0.9929928881383964
51,0.9978813269898409
52,1.0
53,0.9994712646557481
54,0.9964071193631782
55,0.9909046807530086
56,0.983043462508822
57,0.9728845356008639
58,0.9604715409923719
59,0.9458334204481929
60,0.9289886348118077
61,0.9099505572720902
62,0.8887336661246285
63,0.8653601206772941
64,0.8398662873323178
65,0.8123087912082787
66,0.7827697012560568
67,0.7513605116283102
68,0.7182246558031101
69,0.6835383783099958
70,0.6475098867317858
71,0.6103768083155053
72,0.5724020751849868
73,0.5338684541041394
74,0.49507201574640886
75,0.4563148999831626
76,0.41789777431456454
77,0.38011239992836443
78,0.34323471300962427
79,0.3075187982405842
