,Intensity
0,0.23069075395438493
1,0.2035867789611622
2,0.17718352491504719
3,0.15161285146840559
4,0.12705916679947554
5,0.103756820445992
6,0.08198423818974229
7,0.0620550753656936
8,0.04430682935084222
9,0.02908749250181311
10,0.016740935778755045
11,0.007591784770713477
12,0.0019305799385169091
13,0.0
14,0.00198287224332374
15,0.00799259922774411
16,0.018066503023656835
17,0.03216243292041729
18,0.05015880892332957
19,0.07185809089953613
20,0.09699348191641369
21,0.125238504065648
22,0.1562189351744137
23,0.189526473428535
24,0.224733410640021
25,0.2614075483075743
26,0.29912658616798393
27,0.3374912507151308
28,0.37613650893574835
29,0.41474032583689513
30,0.45302956682353956
31,0.49078280962890813
32,0.527830006155435
33,0.564049112451253
34,0.5993599752257227
35,0.6337159163410351
36,0.6670935841185142
37,0.6994817350201884
38,0.7308696660885265
39,0.7612360343471153
40,0.790538773366876
41,0.818706750901646
42,0.8456337086546458
43,0.8711748916501801
44,0.8951466178627903
45,0.9173288675033398
46,0.9374707952885084
47,0.9552988980082324
48,0.9705274133583105
49,0.9828703931135842
50,0.9920547917716386
51,0.9978338465695862
52,1.0
53,0.9983966331099737
54,0.9929279361107545
55,0.983566339017367
56,0.9703570539257228
57,0.9534194350396956
58,0.9329450341679209
59,0.9091924086396314
60,0.8824789155203425
61,0.8531698908295673
62,0.8216657560139158
63,0.7883877082109008
64,0.753762729455734
65,0.7182086885011109
66,0.6821203051117867
67,0.645856700668961
68,0.6097311731131196
69,0.5740037133057274
70,0.5388766303840895
71,0.5044934837888129
72,0.4709413386640654
73,0.4382561791967931
74,0.4064311411782179
75,0.37542707017187
76,0.34518478369012784
77,0.3156383217777198
78,0.2867284155782389
79,0.25841539087173704
