Time,Intensity,Voltage
0.0001,4.07182178,0.23650754
0.00011,4.05775143,0.48776383
0.00011999999999999999,4.05574138,0.33701006
0.00013000000000000002,4.04770118,0.48776383
0.00014,4.07986198,0.33701006
0.00015,4.03966098,0.48776383
0.00016,4.07182178,0.33701006
0.00016999999999999999,4.08388208,0.53801508
0.00018,4.07182178,0.53801508
0.00018999999999999998,4.06579163,0.53801508
0.0002,4.03162077,0.53801508
0.00021,4.05172128,0.58826634
0.00022,4.08388208,0.53801508
0.00022999999999999998,4.06981173,0.53801508
0.00023999999999999998,4.03162077,0.73902011
0.00025,4.06981173,0.83952262
0.00026000000000000003,4.04770118,0.73902011
0.00027,4.08388208,0.73902011
0.00028,4.04770118,0.73902011
0.00029,4.07383183,0.88977388
0.0003,4.03564087,0.94002514
0.00031,4.02559062,0.73902011
0.00032,4.07986198,0.94002514
0.00033,4.07383183,0.78927137
0.00033999999999999997,4.07182178,1.14103016
0.00035,4.02559062,1.14103016
0.00036,4.03162077,0.94002514
0.00037,4.06780168,1.09077891
0.00037999999999999997,4.05976148,1.24153268
0.00039,4.05775143,1.14103016
0.0004,4.03162077,1.14103016
0.00041,4.06780168,1.19128142
0.00042,4.07986198,1.24153268
0.00043,4.03765093,1.14103016
0.00044,4.03162077,1.14103016
0.00045,4.06780168,1.34203519
0.00045999999999999996,4.03966098,1.4425377000000001
0.00047000000000000004,4.02760067,1.34203519
0.00047999999999999996,4.03162077,1.54304022
0.00049,4.03363082,1.49278896
0.0005,4.04770118,1.54304022
0.0005099999999999999,4.04167103,1.4425377000000001
0.0005200000000000001,4.06378158,1.54304022
0.00053,4.06981173,1.69379399
0.00054,4.04368108,1.74404524
0.00055,4.02961072,1.74404524
0.00056,4.03162077,1.74404524
0.00057,4.01956047,1.69379399
0.00058,4.03162077,1.84454776
0.00059,4.02961072,1.89479901
0.0006,4.03966098,2.1460553
0.00061,4.02559062,1.84454776
0.00062,4.05574138,1.84454776
0.00063,4.02760067,2.09580404
0.00064,4.01554037,1.94505027
0.00065,4.04971123,2.1460553
0.00066,4.03966098,2.1460553
0.00067,4.03162077,2.19630655
0.0006799999999999999,4.05574138,2.34706032
0.0006900000000000001,4.04569113,2.29680907
0.0007,4.03162077,2.1460553
0.0007099999999999999,4.00951022,2.34706032
0.00072,4.06378158,2.34706032
0.00073,4.02358057,2.49781409
0.00074,4.05172128,2.34706032
0.00075,4.03363082,2.34706032
0.0007599999999999999,3.99945997,2.54806535
0.0007700000000000001,3.99945997,2.59831661
0.00078,4.02760067,2.44756284
0.00079,4.03162077,2.74907038
0.0008,4.04770118,2.34706032
0.00081,4.04971123,2.59831661
0.00082,4.02760067,2.54806535
0.0008300000000000001,4.00147002,2.74907038
0.00084,4.02358057,2.74907038
0.00085,3.99342982,2.74907038
0.00086,4.00750017,2.9500754000000002
0.0008699999999999999,4.01755042,2.79932163
0.00088,4.00750017,2.9500754000000002
0.0008900000000000002,4.01755042,2.9500754000000002
0.0009,4.02358057,3.15108043
0.00091,4.00549012,2.9500754000000002
0.0009199999999999999,3.99141977,2.9500754000000002
0.00093,4.01956047,3.10082917
0.0009400000000000001,4.01554037,3.25158294
0.00095,3.98538962,3.15108043
0.0009599999999999999,3.99945997,3.55309048
0.0009699999999999999,3.99342982,3.10082917
0.00098,3.98337957,3.35208546
0.00099,4.00549012,3.20133169
0.001,3.99945997,3.55309048
0.00101,3.99141977,3.20133169
0.0010199999999999999,4.00348007,3.35208546
0.00103,4.02358057,3.35208546
0.0010400000000000001,4.01554037,3.35208546
0.00105,4.00549012,3.35208546
0.00106,3.99945997,3.55309048
0.00107,4.00951022,3.40233671
0.00108,4.01554037,3.55309048
0.00109,3.99744992,3.35208546
0.0011,3.98739967,3.653593
0.0011099999999999999,3.99744992,3.70384425
0.00112,3.99945997,3.55309048
0.0011300000000000001,3.99141977,3.75409551
0.00114,3.98739967,3.75409551
0.00115,4.00348007,3.70384425
0.00116,4.00750017,3.75409551
0.00117,3.96930922,3.75409551
0.00118,3.98739967,3.85459802
0.00119,3.99543987,4.15610556
0.0012,4.02358057,3.75409551
0.00121,3.97935947,3.75409551
0.00122,3.98739967,3.95510054
0.00123,3.96729917,3.95510054
0.00124,4.00750017,3.95510054
0.00125,3.99744992,4.00535179
0.00126,3.99141977,4.05560305
0.0012699999999999999,3.97131927,4.00535179
0.00128,3.99945997,4.15610556
