,Increment_Values,image0light1,image0light2,image1light1,image1light2,image2light2,image4light4,image5light1,image6light1,image6light2,image7light2,image8light2,image8light4,image9light4
0,-50.0,10.887188535976081,21.07888595032181,10.778045301503509,20.759646311216915,19.984556258261293,14.502426774900611,8.127382333426073,7.940868516421241,12.51010226049545,17.667097638778863,15.96225540341373,13.949113767051363,12.94192021234324
1,-40.0,11.140348646816436,18.806913603799888,11.051432373142045,18.065515028432532,17.159859660325004,12.070320951964925,7.878843001781179,7.836370627142597,10.244222511385388,15.086484072523326,13.295257022023545,11.814888557954628,10.582122913052112
2,-30.0,11.622990756511832,16.563200082108203,11.57099958857083,15.515935300915617,14.291469948895616,9.959229928904293,7.771796738602597,7.9383873094734545,11.818930783016583,12.478714624016327,10.380453102895018,9.903639503913356,8.63697024484167
3,-20.0,12.507160192439537,14.121382837891549,12.489839720556667,13.12197417108523,12.405279138026588,9.309025916465552,7.849868862971034,8.302061995832307,20.167294996821568,9.932054738222586,8.043012655935259,8.722667669248313,8.103860650506318
4,-10.0,14.293181019603933,12.694019835704516,14.308510260007933,13.937688170953018,16.985806918241114,14.444262347855394,8.270241169654701,9.236131345481137,43.430736417726024,9.928937203919142,10.22029399112852,10.969477742287863,12.835307469007699
5,0.0,16.751015000608724,16.086190287900816,16.738491530866785,22.938089762946266,32.85835822378937,26.73181191567014,9.131565441155226,10.673574573632012,95.3818498346595,17.3076736454764,19.629489261646548,18.300838801075145,23.38626558137607
6,10.0,21.270087171546955,30.32389290504452,21.37475536092106,51.995516833579416,84.51064121908574,59.66710405313201,10.793234425518465,13.400677680163815,552.4846329129041,39.63169252571874,44.07132462772116,36.538612074981586,49.15704648744646
7,20.0,27.51917565465623,59.46434490667331,27.42671346640381,126.74006069010036,329.3229918125695,151.0674901824757,13.152777876451312,16.790808518743717,329.1631036409929,87.73610751168188,96.16527203745463,72.20442786950326,108.64917457786645
8,30.0,37.92075683081477,142.23213402668858,37.07416312213298,1112.9253612779348,407.9742665098799,72400077251.36916,16.50031444490738,21.95798150704619,153.79635394782485,333.93799710723005,360.6421490191819,195.91363587908563,527.9567388701104
9,40.0,60.69526982092392,44041852893.40322,58.369399441032385,231.60957747731362,149.69553327409994,190.28563537248007,22.553228964365502,31.469485200403238,105.41404635721422,312.63972204441427,333.3948310653328,597.4063002937302,254.83230258416856
10,50.0,109.92486945546602,248.2356354720397,101.67982462305167,135.23922476592864,108.49858122034462,117.91327021919271,30.961081712130625,45.58991958698717,87.36178384903309,146.4822634849607,155.0922786610307,172.62268094998188,133.21231639016224
