,Increment_Values,image0light1,image0light2,image1light1,image1light2,image2light2,image4light4,image5light1,image6light1,image6light2,image7light2,image8light2,image8light4,image9light4
0,-20.0,11.568229221155,16.968033046641327,11.488070947618406,15.96165275998812,14.791780590938632,10.242388871443843,7.799272657366456,7.917380761826829,11.220563916740748,12.925907244269297,10.999344136921893,10.205018504128333,8.867162357253626
1,-16.0,12.070874964367679,15.364888429038697,11.98974042052167,14.185566525578986,13.137702261756365,9.277082424955378,7.796090419661289,8.102240623190788,15.148023699902707,11.094789623983274,9.175910297615985,9.124057172483479,8.019191893287292
2,-12.0,12.768983725132557,13.859733401620284,12.720090862427316,12.874480879750976,12.447421201697136,9.571632908505498,7.890924204793377,8.416936122911217,22.52879422391591,9.59420157578777,7.891609370754215,8.710158841181887,8.36708012560752
3,-8.0,13.723163621600301,12.803912415137837,13.729655644666925,12.892357192503363,14.417483788105274,12.19328367129089,8.108645379015245,8.947217766695376,34.55630012503364,9.207199407461118,8.598387898692202,9.70521304324178,10.752402490314124
4,-4.0,15.025653692169712,13.14263106085197,15.075745068109274,15.866773908093704,20.77166371038106,17.577223478137054,8.512944050821172,9.62752777914451,55.077206767462144,11.397336869841254,12.583922998294351,12.760451995399055,15.54875044257805
5,0.0,16.751015000608724,16.086190287900816,16.738491530866785,22.938089762946266,32.85835822378937,26.73181191567014,9.131565441155226,10.673574573632012,95.3818498346595,17.3076736454764,19.629489261646548,18.300838801075145,23.38626558137607
6,4.0,19.120699798451493,22.5791552592797,19.065332164222454,35.84252367478372,54.61253398245595,41.6271779638865,9.944725645115811,12.084122818615295,198.29193292296475,27.463477015522315,31.06640382857003,26.897755583090657,35.28978105707386
7,8.0,22.160117285318275,33.69977706667672,22.1585880228203,59.04281252892158,100.42711797493186,67.83273654752672,11.1139585465553,13.79772073019537,1138.5751342904573,44.1870298291041,49.88258774747224,40.549438867246906,55.1354295703081
8,12.0,26.23188166285886,52.57506889926703,26.09440986110543,106.783597166879,237.64735656158237,124.45078564389667,12.647707759983929,16.06002554408413,426.64185922636165,75.8232884351364,83.29919272206052,63.63044147067107,93.01889594870819
9,16.0,32.020116733915444,88.42008526163796,31.468423306964755,250.33921607854919,23622556180.248066,333.82861097068826,14.55630977244656,19.168180299773997,203.57426608340518,149.1031250786476,161.69861660522093,110.57454263155938,192.37575240966322
10,20.0,39.865607214787424,171.78978582664936,39.158949672297396,38828737544.19008,314.61437319083154,1132.366315926796,17.19910595146758,22.875466906411752,142.59591302332404,517.3110835685414,555.2544828639544,251.44349070310344,1084.5089714346398
