frame,X,Y,Z,q1,q2,q3,q4,lat,lon
frame0,1.8125,-0.4375,78.125,0.77484130859375,-0.63189697265625,0.01409912109375,-0.01214599609375,0.0,0.0
frame1,3.75,-1.0,72.0,0.80718994140625,-0.58856201171875,0.03375244140625,-0.02978515625,0.0,0.0
frame2,3.125,-4.1875,76.0,0.78857421875,-0.611572265625,0.0616455078125,-0.017822265625,0.0,0.0
frame3,357.0,-4.5,75.125,0.79156494140625,-0.60980224609375,0.0313720703125,-1.97686767578125,0.0,0.0
frame4,356.5,-2.0625,73.6875,0.79986572265625,-0.59954833984375,0.00390625,0.0272216796875,32.881678316666665,-117.23400026666667
frame5,349.3125,-7.375,76.0,0.78326416015625,-0.61669921875,0.0250244140625,0.07476806640625,32.881700183333336,-117.23410303333333
frame6,346.4375,-6.8125,72.4375,0.800048828125,-0.5921630859375,0.010986328125,0.09619140625,0.0,0.0
frame7,346.0,-4.625,74.5,0.78900146484375,-0.60650634765625,-0.02105712890625,0.095703125,32.88170048333333,-117.23409731666666
frame8,348.6875,-4.9375,75.0,0.78912353515625,-0.6092529296875,-0.00408935546875,0.07781982421875,32.88170278333333,-117.23409136666666
frame9,359.5625,-4.375,71.5625,0.81036376953125,-0.58416748046875,0.04547119140625,0.00128173828125,32.88170278333333,-117.23409136666666
frame10,359.75,-2.625,75.1875,0.79241943359375,-0.609375,0.0269775390625,0.00323486328125,32.881517116666664,0.0
frame11,3.875,-1.625,72.9375,0.8045654296875,-0.592041015625,0.04144287109375,-0.02197265625,0.0,0.0
frame12,359.8125,-3.1875,75.375,0.7901611328125,-0.61181640625,0.0362548828125,-0.0006103515625,0.0,0.0
frame13,357.5625,-3.5625,76.5,0.78497314453125,-0.61871337890625,0.02880859375,0.0137939453125,0.0,0.0
frame14,1.5,-4.125,78.3125,0.7742919921875,-0.63043212890625,0.05419921875,-0.010498046875,0.0,0.0
frame15,349.75,-4.0,77.9375,0.77423095703125,-0.62890625,-0.0120849609375,0.07049560546875,32.881420733333336,-117.2340338
frame16,350.375,-4.75,78.3125,0.7728271484375,-0.631591796875,0.00238037109375,0.061767578125,32.881420733333336,-117.2340338
frame17,1.1875,-2.375,78.6875,0.7718505859375,-0.63458251953125,0.0374755859375,-0.011474609375,32.88139395,-117.23404206666666
frame18,1.0625,-3.4375,78.8125,0.771484375,-0.63446044921875,0.047119140625,-0.00799560546875,0.0,0.0
frame19,358.875,-3.1875,78.6875,0.774169921875,-0.63226318359375,0.0279541015625,0.01043701171875,32.881400383333336,-117.23405245
frame20,356.6875,-5.1875,79.375,0.76824951171875,-0.638671875,0.038818359375,0.02099609375,0.0,0.0
frame21,346.625,-3.3125,84.375,0.73504638671875,-0.67144775390625,-0.039306640625,0.0855712890625,32.8813901,-117.23404906666667
frame22,354.4375,-4.625,80.9375,0.76116943359375,-0.64727783203125,0.0286865234375,0.02813720703125,32.88138273333333,-117.23405476666667
frame23,1.875,-1.8125,81.25,0.7574462890625,-0.65185546875,0.03338623046875,-0.0146484375,32.88138273333333,-117.23405476666667
frame24,356.0625,-3.75,78.8125,0.77203369140625,-0.6346435546875,0.02056884765625,0.0277099609375,0.0,0.0
frame25,351.0,-3.125,81.0625,0.75677490234375,-0.65081787109375,-0.0146484375,0.0589599609375,32.881361416666664,-117.2340463
frame26,352.875,-2.4375,83.0,0.74810791015625,-0.66168212890625,-0.01171875,0.048095703125,32.881353266666665,-117.23404078333333
frame27,358.6875,1.0,75.125,0.79156494140625,-0.6107177734375,-0.01776123046875,0.00921630859375,0.0,0.0
frame28,1.0625,-0.5625,79.0625,0.7711181640625,-0.63665771484375,0.01007080078125,-0.00494384765625,32.881383316666664,0.0
frame29,356.75,-2.3125,78.625,0.77313232421875,-0.63385009765625,0.00897216796875,0.01959228515625,32.881383316666664,0.0
frame30,356.125,-1.8125,75.0625,0.79290771484375,-0.608642578125,6.103515625e-05,0.02850341796875,0.0,0.0
frame31,353.5625,0.0,78.125,0.7747802734375,-0.629638671875,-0.03656005859375,0.0440673828125,0.0,0.0
frame32,354.0625,-0.9375,73.9375,0.7974853515625,-0.6016845703125,-0.0201416015625,0.039794921875,32.8813924,-117.23402095
frame33,350.625,-0.125,76.4375,0.78314208984375,-0.61669921875,-0.04840087890625,0.06329345703125,0.0,0.0
frame34,344.9375,-1.25,76.4375,0.78094482421875,-0.61322021484375,-0.06402587890625,0.0997314453125,32.88140255,-117.23402173333334
frame35,345.9375,-1.5625,73.8125,0.7940673828125,-0.59814453125,-0.0537109375,0.09344482421875,32.8813995,-117.23401765
frame36,339.8125,-2.125,72.25,0.79437255859375,-0.5855712890625,-0.0799560546875,0.14031982421875,32.8813995,-117.23401765
frame37,336.375,-4.125,75.5625,0.77197265625,-0.609619140625,-0.08135986328125,0.1605224609375,32.88140743333334,-117.2340166
frame38,339.125,-0.5625,75.3125,0.7779541015625,-0.6021728515625,-0.10516357421875,0.14544677734375,32.881411533333335,-117.23401183333333
frame39,326.9375,-0.375,76.6875,0.75140380859375,-0.59674072265625,-0.17303466796875,0.22222900390625,32.881427566666666,0.0
frame40,321.5625,-0.5,72.3125,0.76300048828125,-0.5579833984375,-0.1893310546875,0.265869140625,0.0,0.0
frame41,321.75,-2.0625,70.5625,0.77178955078125,-0.55303955078125,-0.1669921875,0.2657470703125,0.0,0.0
frame42,318.9375,1.1875,72.625,0.755126953125,-0.5491943359375,-0.21929931640625,0.28289794921875,32.8814329,-117.23403461666666
