timestamp,yaw,pitch,roll,q0,q1,q2,q3
1720576618003.271,-0.03510399147104389,-1.5689364061433289,0.03465273064006055,0.707763671875,-0.7060546875,0.024658203125,-0.00018310546875
1720576618018.3152,-0.03512162697326097,-1.5699735313091578,0.03515259651066135,0.7073974609375,-0.7064208984375,0.02484130859375,0.0
1720576618033.7341,-0.03507489288791169,-1.5722186631082908,0.03537222714984645,0.70660400390625,-0.70721435546875,0.02490234375,0.0001220703125
1720576618049.258,-0.03501285755123759,-1.5734267798677941,0.035264767465633715,0.7061767578125,-0.70758056640625,0.02484130859375,0.0001220703125
1720576618064.6492,-0.035046184378274,-1.5753235739220637,0.03523155449876843,0.70550537109375,-0.708251953125,0.02484130859375,0.0001220703125
1720576618079.529,-0.03506252037921934,-1.576185046474666,0.0357345170666997,0.7052001953125,-0.70855712890625,0.0250244140625,0.00030517578125
1720576618095.406,-0.03510509154978585,-1.5782500698768498,0.0374252164549125,0.7044677734375,-0.70928955078125,0.025634765625,0.00091552734375
1720576618110.775,-0.0350472068982454,-1.579454017870647,0.03818143189607465,0.70404052734375,-0.70965576171875,0.02587890625,0.001220703125
1720576618125.64,-0.03509144528797695,-1.581515298958254,0.03918148168121099,0.70330810546875,-0.71038818359375,0.0262451171875,0.0015869140625
1720576618141.259,-0.03511145056241946,-1.5825460668171127,0.039163407608461584,0.70294189453125,-0.71075439453125,0.0262451171875,0.0015869140625
1720576618157.1118,-0.035157980955547945,-1.584949076707112,0.03912123482181433,0.70208740234375,-0.71160888671875,0.0262451171875,0.0015869140625
1720576618172.0059,-0.03500526647442042,-1.5859776809072441,0.03910441344684855,0.70172119140625,-0.71197509765625,0.02618408203125,0.00164794921875
1720576618187.477,-0.034534777086194145,-1.5882028662831955,0.03958789819654074,0.700927734375,-0.7127685546875,0.02618408203125,0.00201416015625
1720576618203.192,-0.034388079837802656,-1.5892303306481532,0.0399168628020187,0.7005615234375,-0.71307373046875,0.0262451171875,0.002197265625
1720576618218.208,-0.03434129667669065,-1.5911114090758964,0.04014444429290643,0.69989013671875,-0.7137451171875,0.02630615234375,0.0023193359375
1720576618233.651,-0.03443743642128383,-1.591794034580392,0.04004577145635427,0.69964599609375,-0.71405029296875,0.02630615234375,0.00225830078125
