,Intensity
0,0.13347743531356543
1,0.11419479960862897
2,0.09411911361208933
3,0.0739954041726015
4,0.05466788430768372
5,0.03702957750854196
6,0.021969246588018233
7,0.010318700973392506
8,0.002803517505953584
9,0.0
10,0.0023008342409511218
11,0.00989138881040933
12,0.02273799681893357
13,0.040588864063132515
14,0.06298752417469596
15,0.08929804181456098
16,0.1187404913766055
17,0.1504346489094428
18,0.1834493622524351
19,0.21685473537704078
20,0.2497740962557768
21,0.2814327228020957
22,0.311200478476824
23,0.3386258483666556
24,0.3634593491503065
25,0.3856648855739491
26,0.4054183084923045
27,0.4230931571151833
28,0.43923430015160975
29,0.45452088604463703
30,0.4697206323602114
31,0.48563799366848126
32,0.5030591170373921
33,0.5226967033281296
34,0.5451379284949359
35,0.5707984392770484
36,0.5998851290046219
37,0.6323699380794437
38,0.6679763348853536
39,0.7061794484188403
40,0.7462200811763644
41,0.7871320704898496
42,0.8277817303526104
43,0.8669174343982923
44,0.9032268312049859
45,0.9353987471115578
46,0.9621865536146584
47,0.9824696719169027
48,0.9953099625875698
49,1.0
50,0.9961006459876734
51,0.9834658928309432
52,0.9622536123292065
53,0.9329215893067087
54,0.896208994290793
55,0.8531042192031012
56,0.8048007200050586
57,0.752643142286325
58,0.6980665155267164
59,0.6425316616229765
60,0.5874601538629087
61,0.5341721737080397
62,0.4838304441670921
63,0.4373930796710662
64,0.39557770194564085
65,0.35883855641456647
66,0.32735765791363847
67,0.30105023660313707
68,0.27958398636348214
69,0.2624108805639797
70,0.2488096540197809
71,0.23793649129877986
72,0.2288810404230859
73,0.2207246099106455
74,0.21259731964819006
75,0.20373106631390792
76,0.19350542622233238
77,0.18148403733340515
78,0.1674395539441126
79,0.1513659211897591
