,Intensity
0,0.1273112699662244
1,0.10670770899058865
2,0.08609394460248175
3,0.06612384114313162
4,0.04752175501827749
5,0.03104082193452885
6,0.017419430900600472
7,0.007338390699916551
8,0.00138124448873868
9,0.0
10,0.0034882273786083625
11,0.011963051863334354
12,0.025357058367718673
13,0.043420558242033815
14,0.06573407700139182
15,0.09173033882443786
16,0.12072448191492116
17,0.1519507688136698
18,0.18460368388072365
19,0.21788105738568386
20,0.251026736248124
21,0.2833703423115124
22,0.31436181913170275
23,0.3435987588502409
24,0.3708449057366954
25,0.3960387299425899
26,0.41929152626245964
27,0.44087508695769123
28,0.46119959177743197
29,0.48078291895944814
30,0.5002130767524611
31,0.5201058579482931
32,0.541060107219533
33,0.5636131462684851
34,0.5881989157408131
35,0.6151112641924099
36,0.6444745496731766
37,0.6762233328148887
38,0.7100924525785263
39,0.7456182135718046
40,0.7821508078215571
41,0.8188774773096816
42,0.854855330356944
43,0.8890521877688424
44,0.9203933832414356
45,0.9478121019172928
46,0.9703006302059914
47,0.9869598209765545
48,0.9970441551740592
49,1.0
50,0.9954950134233627
51,0.9834371061912678
52,0.9639819207789826
53,0.9375283921768475
54,0.904702585221936
55,0.8663306231592642
56,0.823402098597576
57,0.777025859713425
58,0.7283804642444592
59,0.6786618698645743
60,0.6290310670774185
61,0.5805643525015419
62,0.5342087870221951
63,0.4907450933511086
64,0.4507598371169155
65,0.4146282273189124
66,0.3825082937442733
67,0.35434658247916284
68,0.32989488967309427
69,0.3087369621538794
70,0.2903235635588925
71,0.27401386511042863
72,0.2591207947470888
73,0.24495778442595814
74,0.23088430314918518
75,0.2163476549372122
76,0.20091875092764958
77,0.18431991977134202
78,0.1664432804096149
79,0.147358740291261
