Base_Name,1,2,3,4
high0,3870,0,0,0
high1,3489,0,0,0
high3,2972,0,0,0
high4,2541,0,0,0
high5,2564,0,0,0
high6,1006,2918,0,0
high7,0,1943,0,0
high8,0,0,0,1643
high9,0,0,0,1127
high10,0,0,0,1135
high11,0,0,0,907
