Base_Name,1,2,3,4
high0,794,0,0,0
high1,790,0,0,0
high3,746,0,0,0
high4,728,0,0,0
high5,473,0,0,0
high6,480,1544,0,0
high7,0,1460,0,0
high8,0,0,0,1442
high9,0,0,0,1442
high10,0,0,0,1477
high11,0,0,0,1426
