Base_Name,1,2,3,4
high0,3896,0,0,0
high1,3516,0,0,0
high3,3006,0,0,0
high4,2580,0,0,0
high5,2605,0,0,0
high6,1053,2927,0,0
high7,0,1943,0,0
high8,0,0,0,1651
high9,0,0,0,1136
high10,0,0,0,1142
high11,0,0,0,917
