frame,X,Y,Z,q1,q2,q3,q4,lat,lon
frame0,6.3125,1.9375,85.4375,0.731689453125,-0.68023681640625,0.01544189453125,-0.04156494140625,0,0
frame1,11.5625,0.875,89.9375,0.70343017578125,-0.70458984375,0.0601806640625,-0.07196044921875,0,0
frame2,15.5625,2.6875,89.25,0.7041015625,-0.70074462890625,0.062255859375,-0.0963134765625,0.0,0.0
frame3,10.375,0.625,90.625,0.70013427734375,-0.7088623046875,0.05560302734375,-0.064697265625,32.880763183333336,-117.23593656666667
frame4,12.25,1.5625,90.875,0.6973876953125,-0.71051025390625,0.056884765625,-0.07470703125,32.880762383333334,-117.23594425
frame5,7.4375,1.3125,90.1875,0.70281982421875,-0.7095947265625,0.02764892578125,-0.04193115234375,32.8807643,-117.23595088333333
frame6,12.5,0.125,91.9375,0.68988037109375,-0.715576171875,0.07757568359375,-0.0772705078125,0.0,0.0
frame7,5.1875,1.0625,92.9375,0.68682861328125,-0.72601318359375,0.0196533203125,-0.0272216796875,32.88076425,-117.23594725
frame8,11.0625,0.9375,93.0625,0.6851806640625,-0.7230224609375,0.05950927734375,-0.0650634765625,32.88076651666667,-117.23594046666666
frame9,12.4375,2.3125,94.0625,0.6763916015625,-0.73101806640625,0.05078125,-0.07440185546875,32.88076651666667,-117.23594046666666
frame10,28.4375,1.875,102.0625,0.60791015625,-0.76068115234375,0.16741943359375,-0.154296875,0.0,0.0
frame11,9.625,9.125,108.0,0.588134765625,-0.8040771484375,-0.070556640625,-0.05133056640625,32.880765866666664,-117.23592815
frame12,341.125,5.625,93.4375,0.6793212890625,-0.70050048828125,-0.1878662109375,0.1121826171875,32.88076328333333,-117.23592386666667
frame13,164.0625,-6.875,101.8125,-0.099853515625,0.02691650390625,-0.77166748046875,0.6275634765625,0.0,0.0
frame14,188.625,-5.5,106.4375,0.0457763671875,-0.1395263671875,-0.78839111328125,0.597412109375,32.88075871666667,-117.23591615
frame15,198.75,0.6875,95.75,0.10919189453125,-0.11053466796875,-0.7325439453125,0.66278076171875,32.88075608333333,-117.23591183333333
frame16,186.3125,0.25,-1960.1875,0.0345458984375,-0.03955078125,-0.74249267578125,0.66778564453125,32.88075608333333,-117.23591183333333
frame17,184.6875,-0.125,95.6875,0.02886962890625,-0.0338134765625,-0.74066162109375,0.67041015625,32.880755533333335,-117.23591511666666
frame18,183.8125,-0.3125,97.75,0.02117919921875,-0.02911376953125,-0.753173828125,0.6568603515625,0.0,0.0
frame19,-1856.3125,0.9375,97.125,0.0684814453125,-0.06719970703125,-0.74737548828125,0.65740966796875,32.880765266666664,-117.23591911666666
frame20,188.125,-1.625,94.4375,0.0462646484375,-0.07257080078125,-0.72998046875,0.67803955078125,32.880765266666664,-117.23591911666666
frame21,185.6875,-0.875,91.1875,0.03466796875,-0.0469970703125,-0.713134765625,0.69854736328125,32.88075735,-117.23589793333333
frame22,173.5625,-4.1875,92.8125,-0.03790283203125,1.99334716796875,1.276123046875,0.68878173828125,32.88075735,-117.23589793333333
frame23,185.875,-0.625,93.375,0.03466796875,-0.04730224609375,-0.7269287109375,0.6842041015625,32.880752466666664,-117.23589026666667
frame24,178.4375,-3.75,93.625,-0.00689697265625,-0.0389404296875,-0.72869873046875,0.6837158203125,0.0,0.0
frame25,176.5,-4.0,92.375,-0.0194091796875,-0.02935791015625,-0.72125244140625,0.6917724609375,32.8807469,-117.23588656666666
frame26,171.375,-4.1875,93.1875,-0.051513671875,0.0009765625,-0.72637939453125,0.68536376953125,32.88074073333333,-117.23588968333334
frame27,183.5,-3.4375,91.8125,0.02301025390625,-0.06622314453125,-0.71539306640625,0.6951904296875,32.8806497,-117.2359618
frame28,194.5,-1.5625,94.625,0.08660888671875,-0.11553955078125,-0.72564697265625,0.6727294921875,0.0,0.0
frame29,183.5,-5.4375,91.25,0.02117919921875,-0.09014892578125,-0.7093505859375,0.69873046875,32.880638733333335,-117.2359555
frame30,186.5,-3.3125,89.0,0.04083251953125,-0.080078125,-0.696044921875,0.71240234375,32.88063705,-117.23595695
frame31,184.875,-2.9375,90.5,0.0294189453125,-0.0650634765625,-0.7073974609375,0.70318603515625,0.0,0.0
frame32,191.0625,-1.5,91.625,0.06695556640625,-0.087158203125,-0.71221923828125,0.693359375,32.880633483333334,-117.23595695
frame33,178.625,-2.0625,89.375,-0.00823974609375,-0.01654052734375,-0.70355224609375,0.71038818359375,32.880633483333334,-117.23595815
frame34,176.75,-2.75,91.3125,-0.01837158203125,-0.01324462890625,-0.7161865234375,0.69757080078125,32.880627266666664,-117.23597078333333
frame35,178.125,-2.3125,91.5,-0.01092529296875,-0.01800537109375,-0.71575927734375,0.69805908203125,0.0,0.0
frame36,187.1875,-1.375,90.3125,0.0462646484375,-0.0638427734375,-0.70623779296875,0.70355224609375,32.88061053333333,-117.23599023333334
frame37,187.3125,-2.5625,89.75,0.04510498046875,-0.07574462890625,-0.70147705078125,0.70721435546875,32.88060556666667,-117.23599218333334
frame38,188.875,-3.3125,89.5625,0.0538330078125,-0.09503173828125,-0.6966552734375,0.70904541015625,32.880605683333336,-117.23599021666666
frame39,189.0,-0.75,90.0625,0.0545654296875,-0.0648193359375,-0.70440673828125,0.7047119140625,32.880605683333336,-117.23599021666666
frame40,187.75,-1.8125,93.875,0.04608154296875,-0.07421875,-0.72088623046875,0.67926025390625,32.880605683333336,-117.23599021666666
frame41,202.25,0.375,93.5625,0.13568115234375,-0.1390380859375,-0.71337890625,0.67333984375,0.0,0.0
frame42,204.3125,-2.125,96.375,0.13983154296875,-0.1845703125,-0.7220458984375,0.6519775390625,32.88059293333333,-117.23598448333334
frame43,195.875,-2.3125,96.6875,-1.91015625,1.8621826171875,-0.73583984375,0.658447265625,32.88058933333333,-117.23597765
frame44,195.875,-1.5625,100.75,0.0870361328125,-0.1279296875,-0.76092529296875,0.630126953125,32.880584066666664,-117.23597338333333
frame45,195.8125,-3.375,98.125,0.08941650390625,-0.1488037109375,-0.7410888671875,0.6485595703125,32.88058115,0.0
frame46,190.3125,-1.5,94.75,0.05706787109375,-0.07916259765625,-0.73492431640625,0.67108154296875,32.88058115,0.0
frame47,181.25,-4.3125,97.0,0.0067138671875,-0.06573486328125,-0.7464599609375,0.66217041015625,32.88058115,-117.23597551666667
frame48,194.0,-1.125,97.0,0.08251953125,-0.10858154296875,-0.74072265625,0.6578369140625,0.0,0.0
frame49,190.9375,-0.25,94.9375,0.0662841796875,-0.07696533203125,-0.7320556640625,0.67364501953125,32.88056638333333,-117.23597893333333
frame50,190.625,-3.6875,95.8125,0.0621337890625,-0.1160888671875,-0.7327880859375,0.6676025390625,32.88055988333333,-117.2359843
frame51,189.1875,-1.6875,94.375,0.052490234375,-0.0792236328125,-0.72869873046875,0.67822265625,32.88055991666667,-117.23599448333333
frame52,177.8125,-6.375,97.375,-0.0142822265625,-0.06927490234375,-0.74835205078125,0.65948486328125,0.0,0.0
frame53,177.625,-2.75,96.8125,-0.01348876953125,-0.02215576171875,-0.74749755859375,0.66375732421875,0.0,0.0
frame54,174.625,-6.125,96.875,-0.0316162109375,-0.04632568359375,-0.74700927734375,0.6624755859375,0.0,0.0
frame55,177.0625,-4.0625,95.5625,-0.01611328125,-0.03411865234375,-0.7406005859375,0.67083740234375,0.0,0.0
frame56,177.125,-4.6875,94.1875,-0.0162353515625,-0.04302978515625,-0.73101806640625,0.68084716796875,0.0,0.0
frame57,176.6875,-4.75,95.0,-0.01788330078125,-0.0408935546875,-0.735595703125,0.67596435546875,32.88045738333334,-117.23623213333333
frame58,188.5,-2.125,95.4375,0.0478515625,-0.0849609375,-0.73504638671875,0.67095947265625,0.0,0.0
frame59,179.875,-4.8125,96.8125,-0.00152587890625,-0.0621337890625,-0.7452392578125,0.66387939453125,32.88043705,-117.23623273333334
frame60,174.0,-4.4375,94.625,-0.0355224609375,-0.017822265625,-0.73541259765625,0.6763916015625,32.88042355,-117.23622703333334
frame61,168.875,-5.1875,96.1875,-0.06671142578125,0.00531005859375,-0.7437744140625,0.66510009765625,32.8803958,-117.23620991666667
frame62,167.75,-5.3125,95.1875,-0.06854248046875,0.00775146484375,-0.7386474609375,0.6705322265625,32.88037605,0.0
frame63,169.8125,-5.75,97.25,-0.05657958984375,-0.01055908203125,-0.74822998046875,0.66094970703125,32.88037605,0.0
frame64,181.8125,-0.875,87.5,0.01165771484375,-0.02459716796875,-0.69085693359375,0.72247314453125,32.88037605,-117.2361993
frame65,181.0625,-1.5,90.5,0.0048828125,-0.02490234375,-0.71044921875,0.70330810546875,0.0,0.0
frame66,185.8125,-1.6875,89.75,0.03631591796875,-0.05859375,-0.705078125,0.70574951171875,32.88035181666667,-117.23618215
frame67,194.5,-1.875,91.625,0.08367919921875,-0.1103515625,-0.7083740234375,0.692138671875,32.88034768333333,-117.23619423333334
frame68,180.9375,-3.8125,94.9375,0.0050048828125,-0.05523681640625,-0.7364501953125,0.6741943359375,32.880343833333335,-117.23619945
frame69,175.1875,-3.6875,95.0625,-0.0263671875,-0.0184326171875,-0.73760986328125,0.67449951171875,0.0,0.0
frame70,176.8125,-1.75,94.0,-0.0191650390625,-0.00250244140625,-0.7305908203125,0.6824951171875,0.0,0.0
frame71,177.25,-11.75,93.5625,-0.01519775390625,-0.03338623046875,-0.72735595703125,0.685302734375,32.880341683333334,-117.23620428333334
frame72,179.1875,-3.25,94.125,-0.005859375,-0.03607177734375,-0.73187255859375,0.680419921875,32.8803389,-117.23620763333334
frame73,182.5,-1.375,92.25,0.0169677734375,-0.03961181640625,-0.7198486328125,0.69317626953125,32.8803357,-117.23620623333333
frame74,178.875,-2.875,94.5625,-0.00885009765625,-0.026611328125,-0.73492431640625,0.67755126953125,0.0,0.0
frame75,179.0,-3.875,95.5,-0.0068359375,-0.0433349609375,-0.73974609375,0.67144775390625,32.88033058333333,-117.23621386666667
frame76,188.125,0.1875,86.6875,0.05169677734375,-0.04620361328125,-0.6845703125,0.72564697265625,0.0,0.0
frame77,190.5,-2.0,89.625,0.06451416015625,-0.08990478515625,-0.6995849609375,0.7059326171875,0.0,0.0
frame78,186.5,-5.1875,93.375,0.03564453125,-0.10760498046875,-0.72015380859375,0.68450927734375,32.880331516666665,0.0
frame79,177.25,-3.625,91.125,-0.01702880859375,-0.0274658203125,-0.7139892578125,0.69940185546875,32.8803305,-117.23622721666666
frame80,179.75,0.0,93.0625,0.00079345703125,-0.00018310546875,-0.72601318359375,0.68768310546875,0.0,0.0
frame81,171.5625,-2.8125,93.625,-0.04931640625,0.0169677734375,-0.7275390625,0.68408203125,32.880329233333335,-117.23637718333333
frame82,171.9375,-3.875,92.1875,-0.04864501953125,0.00146484375,-0.72137451171875,0.69085693359375,0.0,0.0
frame83,173.8125,-3.6875,93.625,-0.03839111328125,-0.00750732421875,-0.7308349609375,0.68145751953125,32.8803218,-117.23637648333333
frame84,166.25,-4.0,94.5,-0.0810546875,0.0377197265625,-0.7325439453125,0.6748046875,32.8803263,-117.23639105
frame85,174.6875,-0.5,92.4375,-0.0318603515625,0.0267333984375,-0.721923828125,0.69073486328125,0.0,0.0
frame86,172.875,-3.0625,89.1875,-0.043212890625,0.00457763671875,-0.703125,0.70977783203125,32.8803263,0.0
frame87,168.1875,-4.9375,92.0625,-0.07147216796875,0.01226806640625,-0.7198486328125,0.6903076171875,0.0,0.0
frame88,172.25,-4.75,91.125,-0.04498291015625,-0.01239013671875,-0.71453857421875,0.69805908203125,32.88031813333333,-117.23639865
frame89,174.9375,-4.5,91.25,-0.029052734375,-0.02691650390625,-0.71429443359375,0.69873046875,0.0,0.0
frame90,165.875,-7.0,92.125,-0.08685302734375,0.00140380859375,-0.72137451171875,0.68707275390625,32.88030736666666,-117.23641415
frame91,163.3125,-5.4375,93.9375,-0.09918212890625,0.0357666015625,-0.73016357421875,0.67510986328125,32.88028188333333,-117.23641848333334
frame92,166.8125,-5.625,91.6875,-0.08056640625,0.01239013671875,-0.71685791015625,0.69244384765625,0.0,0.0
frame93,164.0,-4.6875,88.8125,-0.1005859375,0.0413818359375,-0.69647216796875,0.70928955078125,32.88028188333333,0.0
frame94,157.0,-3.5,91.3125,-0.138916015625,0.098388671875,-0.7088623046875,0.68450927734375,0.0,0.0
frame95,147.4375,-6.75,92.3125,-0.1943359375,0.11865234375,-0.71160888671875,0.6646728515625,32.880221766666665,-117.2364287
frame96,151.5625,-7.0625,92.25,-0.1668701171875,0.08612060546875,-0.71502685546875,0.67340087890625,32.88021505,0.0
frame97,156.75,-5.75,92.4375,-0.1380615234375,0.07049560546875,-0.719482421875,0.67694091796875,32.88020985,-117.23643983333334
frame98,163.75,-3.8125,90.3125,-0.10162353515625,0.05487060546875,-0.70745849609375,0.697265625,32.88020785,-117.23643825
frame99,162.25,-3.625,89.8125,-0.10577392578125,0.06085205078125,-0.70233154296875,0.70135498046875,0.0,0.0
frame100,166.3125,-4.8125,91.0625,-0.0816650390625,0.025390625,-0.712890625,0.696044921875,32.880202833333335,-117.23643825
frame101,168.125,-3.75,89.5625,-0.0726318359375,0.024658203125,-0.704345703125,0.7056884765625,0.0,0.0
frame102,157.5625,-3.9375,92.5625,-0.13360595703125,0.0908203125,-0.71759033203125,0.67742919921875,32.88019795,-117.23644758333333
frame103,142.0625,-7.3125,95.3125,-0.21795654296875,0.14801025390625,-0.72430419921875,0.63720703125,32.88019635,-117.23645451666667
frame104,141.75,-8.3125,96.125,-0.21783447265625,0.1370849609375,-0.73046875,0.632568359375,0.0,0.0
frame105,155.4375,-5.875,93.6875,-0.14471435546875,0.08026123046875,-0.72528076171875,0.66827392578125,32.880182866666665,-117.23647638333334
frame106,151.4375,-5.0,93.875,-0.16668701171875,0.11590576171875,-0.72149658203125,0.6619873046875,32.8801677,-117.23648331666666
frame107,166.6875,-2.5,92.4375,-0.079833984375,0.0499267578125,-0.72137451171875,0.68609619140625,32.88007018333333,-117.23658685
frame108,161.125,-6.25,95.75,-0.11016845703125,0.04046630859375,-0.740478515625,0.66180419921875,32.88007528333333,-117.23659003333333
frame109,157.875,-5.75,94.1875,-0.13165283203125,0.068603515625,-0.729736328125,0.66741943359375,32.88007528333333,-117.23659003333333
frame110,160.1875,-3.6875,93.5625,-0.1162109375,0.07696533203125,-0.7247314453125,0.6748046875,32.88007356666667,-117.23659393333334
frame111,155.875,-4.125,93.6875,-0.142578125,0.099609375,-0.72216796875,0.66949462890625,32.88007533333333,-117.23659426666667
frame112,163.4375,-2.5625,93.4375,-0.09698486328125,0.0704345703125,-0.72442626953125,0.6788330078125,32.880086766666665,-117.23660221666667
frame113,162.75,-2.8125,93.6875,-0.1019287109375,0.0723876953125,-0.726318359375,0.6759033203125,0.0,0.0
frame114,158.75,-5.1875,95.375,-0.125244140625,0.07177734375,-0.735595703125,0.661865234375,0.0,0.0
frame115,156.8125,-2.1875,92.5,-0.14202880859375,0.1202392578125,-0.711669921875,0.67742919921875,32.8800777,-117.23660813333333
frame116,157.75,-1.0625,91.3125,-0.134765625,0.1241455078125,-0.704345703125,0.685791015625,0.0,0.0
frame117,142.4375,-7.1875,94.0,-0.2218017578125,0.14312744140625,-0.717041015625,0.6451416015625,32.88007271666667,-117.23661126666667
frame118,146.125,-5.1875,94.3125,-0.19390869140625,0.14581298828125,-0.71734619140625,0.65313720703125,32.8800782,-117.23661883333334
frame119,152.125,-2.4375,92.625,-0.16546630859375,0.14306640625,-0.70880126953125,0.67059326171875,32.8800782,-117.23661883333334
frame120,154.3125,-5.125,94.25,-0.15106201171875,0.09716796875,-0.7266845703125,0.6630859375,0.0,0.0
frame121,146.125,-5.4375,90.0,-0.2049560546875,0.1407470703125,-0.6932373046875,0.676513671875,32.8800782,-117.2366471
frame122,149.0625,-4.375,90.875,-0.18743896484375,0.13671875,-0.6995849609375,0.67584228515625,32.8800782,-117.2366471
frame123,146.4375,-3.75,93.0625,-0.19952392578125,0.162109375,-0.70751953125,0.65826416015625,32.8800782,-117.2366471
frame124,145.4375,-5.3125,92.25,-0.2042236328125,0.14801025390625,-0.7041015625,0.66375732421875,0.0,0.0
frame125,149.3125,-5.625,93.3125,-0.18096923828125,0.1201171875,-0.71771240234375,0.66156005859375,0.0,0.0
frame126,143.375,-5.5,92.625,-0.2178955078125,0.16119384765625,-0.70526123046875,0.65509033203125,32.880036716666666,-117.23665815
frame127,143.8125,-4.4375,92.25,-0.21600341796875,0.1717529296875,-0.7000732421875,0.65863037109375,32.88002908333333,-117.23666526666666
frame128,169.75,-3.875,93.6875,-0.05523681640625,0.00933837890625,-0.73004150390625,0.68109130859375,0.0,0.0
frame129,202.6875,-3.375,95.125,0.13360595703125,-0.18853759765625,-0.713134765625,0.661865234375,0.0,0.0
