,Increment_Values,image0light1,image0light2,image1light1,image1light2,image2light2,image4light4,image5light1,image6light1,image6light2,image7light2,image8light2,image8light4,image9light4
0,-50.0,10.993079918752699,24.969999043400335,10.858948265802644,24.944723458798066,24.754688318648686,18.77915339535997,8.886520035826752,8.611886567456388,18.395161116162054,21.76271337491027,20.54565013841232,17.611854250968456,17.088603718180824
1,-40.0,10.863480087916416,23.49886622973797,10.739687086713682,23.35226659413003,22.966200235569136,17.15171298758331,8.532420232349523,8.293855220685977,16.05210403306117,20.217667472715192,18.867182165958436,16.154788125452967,15.485953651401644
2,-30.0,10.83944508605347,21.875887284574503,10.721275052998015,21.655761273676944,21.089038466618184,15.470163399865609,8.24592669836743,8.039774109691843,13.708670632035954,18.565369528031148,17.08097981923361,14.713013860516094,13.857652053716562
3,-20.0,10.950413054752188,20.11188195998662,10.855151593100645,19.634163609141723,18.791087707469725,13.51027490736604,8.005874607312483,7.8912808052832,11.258754121198548,16.604500198835524,14.935293239175536,13.007936562783932,11.956166473956385
4,-10.0,11.329562175371516,17.590812429564433,11.265192375093756,16.731056281043596,15.660322323190048,10.954441503638154,7.815682700745655,7.8727776301896615,10.355184844507063,13.912423458099786,11.996119460829771,10.826770510459555,9.599886586699379
5,0.0,11.98402084708735,15.250780031892882,12.009500315746148,14.129108175786442,13.078627901228323,9.33514424980876,7.786946851952707,8.1084516619026,14.961856074998023,11.2933075609944,9.2060590157809,9.147326797504975,8.09601315268749
6,10.0,13.439095324131257,12.887717451379807,13.439370510502508,12.662578979981253,13.523513829684912,11.348157858031525,8.061442954788793,8.801808821736941,31.32715215684756,9.21784197909659,8.26447397202684,9.36864908764626,10.034233541484586
7,20.0,15.395356727646764,13.537748058957897,15.429675705694645,17.095101412716232,23.10407063494759,19.614482244047842,8.656349956264382,9.940275461808177,63.01606264758013,12.808777504040426,13.972132486119405,14.04012498291717,17.263790084005624
8,30.0,18.510949458725023,20.696751704785388,18.422973671771114,32.084079541378166,48.2092592061798,37.30146707975767,9.785138776243086,11.676410276777148,160.1089432148108,24.562330916814187,27.61804452450784,24.653699690369557,31.940956597841968
9,40.0,24.17604003869049,42.51012280721781,23.948255713000826,78.21984871434424,146.06803061640406,90.05561042111296,11.873016346650942,14.905287786087879,1212.4480254083132,57.89345807621664,63.662637300010935,50.764424584354444,70.96370272280731
10,50.0,32.0953089165125,88.47016125649984,31.64373496630084,251.366406168252,28419322126.355362,334.77584509954926,14.683359850210058,19.166329669762273,204.45032917324696,149.96156766535174,162.4187459731113,111.2444156607419,192.71759963511474
