,Increment_Values,image0light1,image0light2,image1light1,image1light2,image2light2,image4light4,image5light1,image6light1,image6light2,image7light2,image8light2,image8light4,image9light4
0,-50.0,11.472504500275186,27.752884918799477,11.343170931397578,28.03717356831378,28.019007303860253,21.8327826895914,9.681773354735041,9.476895954638234,22.545030377440884,24.769710474672788,23.840508305906575,20.361858385942845,20.10134817929924
1,-40.0,11.162047526510028,26.309578976029375,11.04649642847963,26.51181167186519,26.38410679693516,20.312843833896363,9.226900985596089,8.986883102699592,20.3573928085845,23.2955273172644,22.27218125917136,18.95572308056516,18.578893621308463
2,-30.0,10.909576407956788,24.44663765054832,10.784333154787777,24.468623218984373,24.229588915029666,18.285840238973147,8.758675704974033,8.53189350265468,17.65274791232129,21.4098994524767,20.04487325105884,17.192985054978763,16.658073095509984
3,-20.0,10.812361505050333,22.093287060470114,10.702209586420004,21.84382235361244,21.381858545558675,15.7563695001123,8.276495799269782,8.101080886053357,14.091667451787114,18.924908762362605,17.38594139166079,14.96028986233806,14.181255227942595
4,-10.0,11.05729576172341,19.046310125645544,10.97915089620937,18.357984128766848,17.45014406507285,12.3992080596748,7.905224925014381,7.866438693535213,10.414298789846208,15.487856444184162,13.67840157440687,12.091285783917955,10.994117812086708
5,0.0,11.98402084708735,15.250780031892882,12.009500315746148,14.129108175786442,13.078627901228323,9.33514424980876,7.786946851952707,8.1084516619026,14.961856074998023,11.2933075609944,9.2060590157809,9.147326797504975,8.09601315268749
6,10.0,14.33163305427058,12.683449104472489,14.356586402435454,13.842804768515297,16.99800085879532,14.524742991069774,8.288411638836514,9.238026431763027,43.313335906643395,10.005190821458047,10.17739186664473,10.986710255432708,12.899045980729182
7,20.0,19.11293434279792,22.569031817947177,19.070091607040588,35.64856615111537,54.65262920770441,41.64274625472325,9.952984632320014,12.055063447083707,198.74841523407864,27.44019266982363,31.179950766611704,26.959162844140454,35.264921958186946
8,30.0,28.940345511428173,67.38455323913391,28.789350791768427,153.62524971875067,511.23102310673255,187.48386476193872,13.511512352186044,17.471589193968065,270.49861221141543,103.16749836967386,112.51249027913413,82.3813020391899,128.2296401209036
9,40.0,56.39706706276961,1217.2143290480092,54.432173329714665,268.4972036205826,161.83253807593866,216.0635219320027,21.35369348097636,29.582200641277645,109.28621154715808,405.6019928424131,431.68778199341455,1160.1006259223723,310.38308127930435
10,50.0,171.334314738091,178.1414866868518,150.45539183935998,116.04120040380815,97.49277016506996,101.85696644962938,36.70488810215214,56.61904622493992,81.46964581744028,121.17777516056815,127.53697936470516,133.54989209978234,111.29583636460501
