,Increment_Values,image0light1,image0light2,image1light1,image1light2,image2light2,image4light4,image5light1,image6light1,image6light2,image7light2,image8light2,image8light4,image9light4
0,-20.0,11.30588775969214,18.89397743205275,11.25049582032155,18.88130121785757,18.672600989309633,13.022936912805388,7.842946671101883,7.929586638725033,12.569254409460738,15.764865631674565,13.96188116190129,12.158305156087136,11.306279042995502
1,-16.0,11.503447639568126,17.647758866809777,11.44511080728847,17.31038460094278,16.720865606305132,11.512264109214733,7.818953558606273,7.970376411858667,10.524067896454634,14.299278139216469,12.425722082232946,11.007677377214568,9.939094546333322
2,-12.0,11.68961552814137,16.617144745292915,11.671661759215645,16.001582721191976,15.063613548267886,10.384240292235269,7.807305360041088,8.01853960533558,10.487453166367324,13.01264986551324,10.947706502636203,10.147410340963168,8.979177635069705
3,-8.0,11.864205488335015,15.812006618313225,11.82368081738659,14.961996007982334,13.94494876207102,9.716487056932767,7.797721704558694,8.058587982416727,12.256998642205962,12.005147771148478,10.062063101929391,9.571271784525058,8.404550681146048
4,-4.0,11.979270929024882,15.428157176360903,11.965226552228106,14.347464085187362,13.316175757313362,9.429989396656163,7.793499701257214,8.089257647568292,14.265981354428844,11.359108286329754,9.304898324611475,9.262277980792087,8.159789171754614
5,0.0,11.98402084708735,15.250780031892882,12.009500315746148,14.129108175786442,13.078627901228323,9.33514424980876,7.786946851952707,8.1084516619026,14.961856074998023,11.2933075609944,9.2060590157809,9.147326797504975,8.09601315268749
6,4.0,11.94712137861811,15.38454282378021,11.901207239829871,14.285467493663607,13.236985848624833,9.386335690257093,7.776788224699463,8.075469536023165,14.206926782967276,11.401629088304496,9.263231030181098,9.224322408740427,8.130147699990097
7,8.0,11.823484025677235,15.825384129348944,11.818158050114636,14.86058050071545,13.779922120823434,9.643703986813557,7.762331773243554,8.020106175027982,12.197934236129063,11.916812636428515,9.911662638314699,9.500260234694657,8.344363202475447
8,12.0,11.631339765614975,16.603495805190963,11.626518257245158,15.812557726872418,14.928814210695803,10.291653366299427,7.747685772722201,7.9573151498478945,10.356583646345566,12.868404737338045,10.764986290169478,10.02533071157383,8.893160039731162
9,16.0,11.443296059388084,17.610684152826714,11.360882123455944,17.254791306159934,16.578280633422253,11.386070439015375,7.745807098764028,7.8826189321219475,10.418591033597721,14.16756264894009,12.087522156728797,10.9346937636862,9.864867433322967
10,20.0,11.196449021018156,18.883490200847767,11.1425050948289,18.760768769874858,18.484866775708657,12.860607976267065,7.761835388699294,7.829263316545177,12.447909192540795,15.593177317981269,13.919914030621364,12.064002907549398,11.191270667029753
