,Increment_Values,image0light1,image0light2,image1light1,image1light2,image2light2,image4light4,image5light1,image6light1,image6light2,image7light2,image8light2,image8light4,image9light4
0,-0.01953125,11.998611589970436,15.275957731242139,12.011807710821875,14.160684466573127,13.045146144159489,9.334572457921903,7.788559202997709,8.09196768682462,15.12315445086992,11.218426138965027,9.223213500071974,9.133925501230259,8.085520996684684
1,-0.015625,12.011280700589644,15.273956193588118,11.98541111122991,14.15036872730236,13.076909914632653,9.341575945423692,7.791257639840052,8.09092930794252,15.048142495004651,11.220065416379178,9.141512384495105,9.155473666716118,8.099687963139127
2,-0.01171875,12.01057286276816,15.258574518743366,11.967382185086276,14.113170509670898,13.029603417230256,9.33258802997186,7.791787767645743,8.086071955570237,15.116214682796203,11.189876916807481,9.203512748901804,9.141333279597614,8.10075635372893
3,-0.0078125,12.013507315397002,15.293459853845206,11.966635305833275,14.144676335026608,13.10839056947196,9.339473682835838,7.789276535934478,8.092732457016584,15.044150790830294,11.26546241833654,9.119792911516077,9.138670539167965,8.087498783269421
4,-0.00390625,12.013226504695032,15.213406191835299,11.988671772883457,14.11433927412581,13.043274955150467,9.329925754980614,7.787791842822175,8.091349385444117,15.104160981298605,11.29522322227989,9.236086866316281,9.142768944412111,8.092156419267628
5,0.0,11.98402084708735,15.250780031892882,12.009500315746148,14.129108175786442,13.078627901228323,9.33514424980876,7.786946851952707,8.1084516619026,14.961856074998023,11.2933075609944,9.2060590157809,9.147326797504975,8.09601315268749
6,0.00390625,11.991571605356535,15.244447256777661,12.004740449688121,14.139122796140965,13.041059476400324,9.334386702506963,7.7880304195604655,8.095285935494749,15.14391896465372,11.210770661944284,9.15390936305215,9.160243853543465,8.093181354598492
7,0.0078125,11.986915385052336,15.265486162103807,11.998871376162286,14.105899635930895,13.030694887310391,9.33726449519067,7.790705245749617,8.101278512285008,15.077580930302702,11.1954093498806,9.203677762384809,9.166592453035422,8.088453057388074
8,0.01171875,12.010838098463704,15.232959328126809,11.964551445069105,14.181291006909932,13.040174720646622,9.338194094431756,7.790685258595947,8.09366714080824,15.070972955187985,11.25021695922803,9.14254527172061,9.165870521258917,8.109407410545677
9,0.015625,11.994149509653395,15.26984229385353,11.997817801665352,14.137731749716604,13.037050338924074,9.343331366023278,7.785837907221876,8.094536300603938,15.148388783858197,11.199062518755275,9.242135745051783,9.151236269604372,8.103114208465596
10,0.01953125,12.00543638722544,15.241361951263574,11.971289502215631,14.155368987811103,13.076953551311526,9.336905903107418,7.788896742795995,8.095549029498104,15.069006148491695,11.24270548150425,9.126248025711714,9.148180869984206,8.096294433768277
