,Increment_Values,image0light1,image0light2,image1light1,image1light2,image2light2,image4light4,image5light1,image6light1,image6light2,image7light2,image8light2,image8light4,image9light4
0,-50.0,12.075004435812932,15.283409942099954,12.044976618260975,14.246727938935287,13.302171989153331,9.55645885418576,7.869183907053432,8.175262873213656,15.111799796168953,11.48074303161721,9.287385764654474,9.33652489038113,8.276601738004608
1,-40.0,12.038845667434256,15.301046230752416,12.035296542468618,14.264562068648734,13.264718557443672,9.507567381207663,7.852701350307227,8.150979440169172,15.119485356099684,11.415850346152995,9.25765801667945,9.308628820103984,8.23504956998828
2,-30.0,12.049328721643173,15.31400037379939,12.014414324714505,14.20310398003713,13.183648030317622,9.459676870900473,7.8314920029076625,8.146447368295203,15.08935104918922,11.303997532996698,9.227342847428378,9.272798316437193,8.197137522404825
3,-20.0,12.037730951745724,15.268366185785657,11.979288633002913,14.25899698618855,13.170626430270842,9.422266787691763,7.825932836008906,8.140424782086777,15.118316177082434,11.366360189933062,9.277774414879886,9.24747319955266,8.16372814758183
4,-10.0,12.174692933133734,14.908537266968741,12.17628407615471,13.771304661324177,12.782464414436266,9.292756765262983,7.821415163785622,8.17953330654751,16.461824416868843,10.765897836913743,8.842509471792852,9.004147456160668,8.056299520247919
5,0.0,11.98402084708735,15.250780031892882,12.009500315746148,14.129108175786442,13.078627901228323,9.33514424980876,7.786946851952707,8.1084516619026,14.961856074998023,11.2933075609944,9.2060590157809,9.147326797504975,8.09601315268749
6,10.0,12.150327222343655,14.863565623396855,12.142452027818724,13.767665112877516,12.719420242936968,9.221872004374916,7.788470686817786,8.168338757710032,16.660598942035822,10.72898585708907,8.821581906043955,8.924944987636197,8.000041093778176
7,20.0,11.971526296037837,15.253784551387275,11.96539541010488,14.122164861242034,12.97504955490981,9.246279453315928,7.758834370801213,8.067330433083466,15.079054599543605,11.110389873995796,9.12059040567023,9.073343646239865,8.02155856590088
8,30.0,12.147851346201781,14.800305024217517,12.121785588348036,13.688692394741624,12.650754082946174,9.141735620787955,7.759992793425607,8.126069963919088,16.520300190624436,10.612349218094451,8.721951301755638,8.846574636050939,7.931516643242976
9,40.0,12.129147185611757,14.802669206718212,12.080538533970584,13.717522219573151,12.642889689318444,9.092879607377988,7.7404843933804,8.09011961134638,16.492730787467664,10.575303887598764,8.57995798192162,8.805058185449077,7.901112576854769
10,50.0,12.137658928748177,14.75288524262796,12.106242416917029,13.601585540659274,12.538300923314582,9.06729619568126,7.732759622178633,8.080981060590458,16.733841688811477,10.581169343678775,8.572506848482517,8.790792825145564,7.877832864002617
