,Increment_Values,image0light1,image0light2,image1light1,image1light2,image2light2,image4light4,image5light1,image6light1,image6light2,image7light2,image8light2,image8light4,image9light4
0,-75.0,11.6552122594833,15.464206242648837,11.622243656404182,14.279296327517695,13.11681494030914,9.170486626480182,7.6088717110718695,7.850306121192471,13.360773141334601,11.362837024682229,9.415009528148628,9.082218845069164,7.9536991581631895
1,-60.0,11.679182827309178,15.528561506127978,11.613340904143616,14.265710275273694,13.019406821338329,9.173786254944304,7.609773684131159,7.850308771248698,13.4794094297211,11.433199693643877,9.424921321786377,9.110482025295095,7.931324964028772
2,-45.0,11.6552122594833,15.464206242648837,11.622243656404182,14.279296327517695,13.11681494030914,9.170486626480182,7.6088717110718695,7.850306121192471,13.360773141334601,11.362837024682229,9.415009528148628,9.082218845069164,7.9536991581631895
3,-30.0,11.889207690585078,15.104991576161256,11.811700928392906,13.909166864784192,12.776294103438989,9.071601726694809,7.654124085691316,7.958627376283674,14.848910825881681,11.040574712790557,9.094978177140773,8.94982782187658,7.864913027977288
4,-15.0,11.928395266213089,15.206972739856884,11.893327128518097,14.10555720133533,12.883821738323723,9.2038930165878,7.721354134451891,8.024225104169684,15.012051766015329,11.151020986627174,9.157041633792822,9.053716721463061,7.995831070625648
5,0.0,11.98402084708735,15.250780031892882,12.009500315746148,14.129108175786442,13.078627901228323,9.33514424980876,7.786946851952707,8.1084516619026,14.961856074998023,11.2933075609944,9.2060590157809,9.147326797504975,8.09601315268749
6,15.0,12.080675376470458,15.315566008358635,12.02968655340253,14.228022254211401,13.243790358218229,9.474730203486976,7.855550466092049,8.179891650809656,15.182746254362538,11.313624958619299,9.210699252428373,9.287338933027915,8.208378289183543
7,30.0,12.277607574375871,14.990266146177195,12.27717195973079,13.940062344334867,13.071666636814111,9.535047799629867,7.935102646457183,8.305395592929148,16.864007049660916,11.003458752753717,8.951000975064991,9.2317940019785,8.26446999414936
8,45.0,12.385318126459678,15.063259674356758,12.348695703687754,14.101318534848234,13.221768772284006,9.671313776719959,8.016727226999308,8.377101042227485,16.790822049592222,11.074442878205973,8.968124712926805,9.326089401572888,8.389882964438248
9,60.0,12.43218466566978,15.191780487700209,12.416388366380378,14.226926705410847,13.361536066714862,9.804016371327245,8.079751387328502,8.471449117942546,17.094322935049867,11.162980600621472,9.094335364998946,9.461456921428093,8.503435714199021
10,75.0,12.542112748330933,15.191552364823856,12.515649072287383,14.313655647768595,13.542217626821959,9.954963870648498,8.144736678353468,8.551058884379117,17.047067994217432,11.259849051703457,9.248270390169576,9.571495084609689,8.627955305066035
