Base_Name,1,2,3,4
image0,1176,1915,0,0
image1,1126,1939,0,0
image2,0,1934,0,0
image4,0,0,0,1710
image5,1369,0,0,0
image6,1334,2027,0,0
image7,0,2040,0,0
image8,0,1961,0,1788
image9,0,0,0,1764
