Base_Name,1,2,3,4
image0,1840,3876,0,0
image1,1189,3085,0,0
image2,0,1955,0,0
image4,0,0,0,1931
image5,2645,0,0,0
image6,1293,3254,0,0
image7,0,1995,0,0
image8,0,770,0,2849
image9,0,0,0,1497
