Label,Base_Name,Lat,Long,Ortho,Yaw_X,Pitch_Y,Roll_Z,Geocentric_X,Geocentric_Y,Geocentric_Z
image0,image0,32.87503,-117.21852,81.6,351.936,-110.848,1.383,-2452523.228061,-4768302.335005,3442352.092989
image1,image1,32.87503,-117.21852,81.7,7.74,-110.714,-0.146,-2452523.266475,-4768302.409691,3442352.147270
image2,image2,32.87503,-117.21852,81.8,33.108,-110.539,-2.592,-2452523.304889,-4768302.484377,3442352.201551
image4,image4,32.87503,-117.21848,79.3,77.402,-108.437,-5.997,-2452519.015724,-4768302.329577,3442350.844648
image5,image5,32.87503,-117.21847,79.9,340.053,-114.593,-0.635,-2452518.414002,-4768303.205778,3442351.170362
image6,image6,32.87503,-117.21847,80.1,8.734,-113.902,-2.898,-2452518.490829,-4768303.355149,3442351.278924
image7,image7,32.87503,-117.21846,78.4,40.7,-112.665,-4.392,-2452517.005591,-4768302.513576,3442350.356179
image8,image8,32.87503,-117.21846,78.5,60.789,-110.694,-4.764,-2452517.044005,-4768302.588262,3442350.410460
image9,image9,32.87503,-117.21846,78.6,84.897,-108.654,-4.517,-2452517.082418,-4768302.662947,3442350.464741
