Label,Base_Name,Lat,Long,Ortho,Yaw_X,Pitch_Y,Roll_Z,Geocentric_X,Geocentric_Y,Geocentric_Z
image0,image0,32.875045,-117.218468,79.91,351.936,-110.848,1.383,-2452517.838400,-4768302.495884,3442352.572949
image1,image1,32.875045,-117.218468,79.91,7.74,-110.714,-0.146,-2452517.838400,-4768302.495884,3442352.572949
image2,image2,32.875045,-117.218468,79.91,33.108,-110.539,-2.592,-2452517.838400,-4768302.495884,3442352.572949
image4,image4,32.875045,-117.218468,79.91,77.402,-108.437,-5.997,-2452517.838400,-4768302.495884,3442352.572949
image5,image5,32.875045,-117.218468,79.91,340.053,-114.593,-0.635,-2452517.838400,-4768302.495884,3442352.572949
image6,image6,32.875045,-117.218468,79.91,8.734,-113.902,-2.898,-2452517.838400,-4768302.495884,3442352.572949
image7,image7,32.875045,-117.218468,79.91,40.7,-112.665,-4.392,-2452517.838400,-4768302.495884,3442352.572949
image8,image8,32.875045,-117.218468,79.91,60.789,-110.694,-4.764,-2452517.838400,-4768302.495884,3442352.572949
image9,image9,32.875045,-117.218468,79.91,84.897,-108.654,-4.517,-2452517.838400,-4768302.495884,3442352.572949
