,Image_Name,Yaw_X,Pitch_Y,Roll_Z,Geocentric_X,Geocentric_Y,Geocentric_Z,Lat,Long,Height
0,straight0,264.46,-176.667,79.82567,-2452521.762,-4768291.102,3442356.428,32.87504,-117.218561,40.02020399
1,straight1,267.2273,-177.267,82.009,-2452521.762,-4768291.102,3442356.428,32.87504,-117.21848,40.02020399
2,straight2,266.2123,-178.542,79.80333,-2452507.1,-4768302.283,3442360.632,32.87504,-117.21844,45.02128555
3,corner0,261.2137,-178.595,82.18167,-2452519.705,-4768301.889,3442351.676,32.87503667,-117.2184887,44.70727
4,corner1,282.232,-178.618,82.11533,-2452519.705,-4768301.889,3442351.676,32.87503667,-117.2184887,44.70727
5,corner2,300.5233,-179.469,82.26567,-2452519.705,-4768301.889,3442351.676,32.87503667,-117.2184887,44.70727
6,corner3,322.4073,-179.501,81.926,-2452519.705,-4768301.889,3442351.676,32.87503667,-117.2184887,44.70727
7,corner4,336.669,-179.894,81.322,-2452519.705,-4768301.889,3442351.676,32.87503667,-117.2184887,44.70727
