Light_Number,Lat,Long,Est_ortho,Geocentric_X,Geocentric_Y,Geocentric_Z
1,32.87525536,-117.2184056,,-2452505.352,-4768290.986,3442370.044
2,32.87522271,-117.2181366,,-2452483.864,-4768304.249,3442367.004
4,32.8750389,-117.2180999,,-2452485.871,-4768315.66,3442349.884
