frame,timestamp
frame1,1724471634177.495
frame2,1724471634709.996
frame3,1724471635039.264
frame4,1724471635372.303
frame5,1724471635705.749
frame6,1724471636051.733
frame7,1724471636438.4639
frame8,1724471636772.41
frame9,1724471637104.914
frame10,1724471637439.634
frame11,1724471637771.606
frame12,1724471638104.359
frame13,1724471638440.0762
frame14,1724471638771.077
frame15,1724471639105.719
frame16,1724471639436.962
frame17,1724471639771.362
frame18,1724471640105.21
frame19,1724471640437.263
frame20,1724471640770.161
frame21,1724471641110.404
frame22,1724471641554.98
frame23,1724471642085.115
frame24,1724471642616.253
frame25,1724471643152.076
frame26,1724471643687.041
frame27,1724471644218.6228
frame28,1724471644752.148
frame29,1724471645282.492
frame30,1724471645818.511
frame31,1724471646347.015
frame32,1724471646817.3
frame33,1724471647350.3909
frame34,1724471647817.9
frame35,1724471648346.446
frame36,1724471648818.307
frame37,1724471649281.0781
frame38,1724471649749.808
frame39,1724471650214.876
frame40,1724471650682.628
frame41,1724471651146.5261
frame42,1724471651613.354
frame43,1724471652080.768
frame44,1724471652545.9622
frame45,1724471653079.305
frame46,1724471653478.3188
frame47,1724471654014.4802
frame48,1724471654544.918
frame49,1724471655078.875
frame50,1724471655609.841
frame51,1724471656144.557
frame52,1724471656630.786
frame53,1724471657077.201
frame54,1724471657612.947
frame55,1724471658143.717
frame56,1724471658677.6062
frame57,1724471659212.042
frame58,1724471659743.4248
frame59,1724471660276.983
frame60,1724471660813.181
frame61,1724471661342.071
frame62,1724471661875.833
frame63,1724471662408.256
frame64,1724471662943.6108
frame65,1724471663426.206
frame66,1724471663760.267
frame67,1724471664092.601
frame68,1724471664426.121
frame69,1724471664761.005
frame70,1724471665093.515
frame71,1724471665427.353
frame72,1724471665758.613
frame73,1724471666092.469
frame74,1724471666425.1658
frame75,1724471666758.5708
frame76,1724471667091.8428
frame77,1724471667424.405
frame78,1724471667759.981
frame79,1724471668091.1
frame80,1724471668425.981
frame81,1724471668758.564
frame82,1724471669091.007
frame83,1724471669424.609
frame84,1724471669823.612
frame85,1724471670219.105
frame86,1724471670740.29
frame87,1724471671606.552
frame88,1724471672137.3032
frame89,1724471672672.889
frame90,1724471673156.983
frame91,1724471673489.314
frame92,1724471673822.742
frame93,1724471674156.547
frame94,1724471674488.922
frame95,1724471674822.17
frame96,1724471675155.647
frame97,1724471675488.382
frame98,1724471675820.994
frame99,1724471676156.802
frame100,1724471676500.989
frame101,1724471676887.097
frame102,1724471677223.636
frame103,1724471677553.467
frame104,1724471677890.408
frame105,1724471678219.81
frame106,1724471678553.7668
frame107,1724471678886.463
frame108,1724471679220.344
frame109,1724471679552.732
frame110,1724471679885.669
frame111,1724471680219.476
frame112,1724471680551.958
frame113,1724471680886.096
frame114,1724471681218.324
frame115,1724471681553.488
frame116,1724471681884.9858
frame117,1724471682218.4949
frame118,1724471682551.2942
frame119,1724471682884.041
frame120,1724471683219.592
frame121,1724471684416.881
frame122,1724471684751.108
frame123,1724471685083.3389
frame124,1724471685417.457
frame125,1724471685749.809
frame126,1724471686084.9
frame127,1724471686416.0781
frame128,1724471686772.4768
frame129,1724471687083.8052
frame130,1724471687415.466
frame131,1724471687749.409
frame132,1724471688081.831
frame133,1724471688416.378
frame134,1724471688748.721
frame135,1724471689081.9248
frame136,1724471689416.359
frame137,1724471689749.377
frame138,1724471690081.037
frame139,1724471690414.313
frame140,1724471690748.3262
frame141,1724471691081.802
frame142,1724471691414.587
frame143,1724471691747.428
frame144,1724471692081.344
frame145,1724471692461.158
frame146,1724471692930.818
frame147,1724471693394.0352
frame148,1724471693862.224
frame149,1724471694328.717
frame150,1724471694793.198
frame151,1724471695261.081
frame152,1724471695678.678
frame153,1724471696012.11
frame154,1724471696345.345
frame155,1724471696678.3882
frame156,1724471697020.2651
frame157,1724471697345.946
frame158,1724471697678.315
frame159,1724471698010.7761
frame160,1724471698346.215
frame161,1724471698725.034
frame162,1724471699192.427
frame163,1724471699659.3271
frame164,1724471700124.615
frame165,1724471700591.444
frame166,1724471701059.592
frame167,1724471701528.448
frame168,1724471702014.1348
frame169,1724471702343.812
frame170,1724471702676.768
frame171,1724471703008.708
frame172,1724471703342.051
frame173,1724471703677.1892
frame174,1724471704009.761
frame175,1724471704341.1711
frame176,1724471704678.227
frame177,1724471705009.0662
frame178,1724471705341.65
frame179,1724471705679.286
frame180,1724471706008.07
frame181,1724471706340.468
frame182,1724471706673.686
frame183,1724471707076.951
frame184,1724471707474.242
frame185,1724471707807.18
frame186,1724471708140.681
frame187,1724471708473.0698
frame188,1724471708808.431
frame189,1724471709139.91
frame190,1724471709475.832
frame191,1724471709805.5889
frame192,1724471710205.921
frame193,1724471710539.292
frame194,1724471710872.207
frame195,1724471711208.215
frame196,1724471711538.583
frame197,1724471711872.684
frame198,1724471712207.8508
frame199,1724471712605.0898
frame200,1724471712939.936
frame201,1724471713337.791
frame202,1724471713673.332
frame203,1724471714004.128
frame204,1724471714337.811
frame205,1724471714718.174
frame206,1724471715317.997
frame207,1724471715849.528
frame208,1724471716386.066
frame209,1724471716918.566
frame210,1724471717451.535
frame211,1724471717936.2031
frame212,1724471718268.52
frame213,1724471718602.72
frame214,1724471718935.1611
frame215,1724471719269.176
frame216,1724471719715.594
frame217,1724471720250.9602
frame218,1724471720783.896
frame219,1724471721316.09
frame220,1724471721847.11
frame221,1724471722380.888
frame222,1724471722867.156
frame223,1724471723313.843
frame224,1724471723850.135
frame225,1724471724380.489
frame226,1724471724915.0132
frame227,1724471725444.894
frame228,1724471725978.992
frame229,1724471726464.9229
frame230,1724471726913.114
frame231,1724471727713.422
frame232,1724471728247.169
frame233,1724471728713.269
frame234,1724471729245.3289
frame235,1724471729717.285
frame236,1724471730112.9702
frame237,1724471730645.23
frame238,1724471731177.344
frame239,1724471731710.112
frame240,1724471732248.183
frame241,1724471732778.485
frame242,1724471733309.419
frame243,1724471733843.44
frame244,1724471734375.8608
frame245,1724471734846.606
frame246,1724471735308.899
frame247,1724471735775.353
frame248,1724471736242.506
frame249,1724471736776.236
frame250,1724471737309.305
frame251,1724471737842.061
frame252,1724471738374.54
frame253,1724471738910.4878
frame254,1724471739433.6792
frame255,1724471739794.026
frame256,1724471740240.408
frame257,1724471740776.604
frame258,1724471741304.889
frame259,1724471741772.5671
frame260,1724471742239.323
frame261,1724471742704.7751
frame262,1724471743171.962
frame263,1724471743641.628
frame264,1724471744107.1602
frame265,1724471744570.878
frame266,1724471745038.811
frame267,1724471745504.977
frame268,1724471745971.098
frame269,1724471746455.903
frame270,1724471746803.6958
frame271,1724471747302.691
frame272,1724471747771.289
frame273,1724471748238.164
frame274,1724471748702.935
frame275,1724471749171.088
frame276,1724471749636.379
frame277,1724471750086.3298
frame278,1724471750387.403
frame279,1724471750720.316
frame280,1724471751054.879
frame281,1724471751386.973
frame282,1724471751721.292
frame283,1724471752053.3372
frame284,1724471752504.256
frame285,1724471752967.183
frame286,1724471753434.659
frame287,1724471753900.534
frame288,1724471754370.89
frame289,1724471754835.167
frame290,1724471755251.601
frame291,1724471755584.827
frame292,1724471755919.737
frame293,1724471756251.389
frame294,1724471756588.257
frame295,1724471756917.673
frame296,1724471757252.332
frame297,1724471757584.923
frame298,1724471758034.31
frame299,1724471758565.171
frame300,1724471759034.832
frame301,1724471759498.977
frame302,1724471759965.035
frame303,1724471760430.495
frame304,1724471760900.438
frame305,1724471761364.479
frame306,1724471761718.212
frame307,1724471762048.7102
frame308,1724471762386.2742
frame309,1724471762717.084
frame310,1724471763048.852
frame311,1724471763381.863
frame312,1724471763714.808
frame313,1724471764048.387
frame314,1724471764380.927
frame315,1724471764715.055
frame316,1724471765047.39
frame317,1724471765382.166
frame318,1724471765714.13
frame319,1724471766047.952
frame320,1724471766380.5671
frame321,1724471766713.8281
frame322,1724471767048.0771
frame323,1724471767379.718
frame324,1724471767720.907
frame325,1724471768046.0989
frame326,1724471768383.074
frame327,1724471768715.3152
frame328,1724471769046.651
frame329,1724471769379.252
frame330,1724471769712.896
frame331,1724471770045.1309
frame332,1724471770379.02
frame333,1724471770712.864
frame334,1724471771044.6292
frame335,1724471771379.083
frame336,1724471771712.07
frame337,1724471772045.877
frame338,1724471772377.582
frame339,1724471772710.635
frame340,1724471773048.988
frame341,1724471773377.1008
frame342,1724471773714.4712
frame343,1724471774043.66
frame344,1724471774377.2969
frame345,1724471774711.112
frame346,1724471775043.143
frame347,1724471775376.387
frame348,1724471775711.011
frame349,1724471776043.4739
frame350,1724471776375.67
frame351,1724471776710.1282
frame352,1724471777042.434
frame353,1724471777377.158
frame354,1724471777708.664
frame355,1724471778043.144
frame356,1724471778376.2542
frame357,1724471778708.173
frame358,1724471779042.281
frame359,1724471779490.032
frame360,1724471779957.113
frame361,1724471780424.0
frame362,1724471780889.323
frame363,1724471781358.886
frame364,1724471781823.009
frame365,1724471782289.052
frame366,1724471782688.708
frame367,1724471783155.3782
