,Param_Name,Parameter_Delta_value,Original_Median_Error,New_Median_Error,Percent_Error_Reduced_Med
0,cx_left,-20.0,18.300838801075145,11.178453515451826,38.918354306278516
1,cx_right,20.0,18.300838801075145,11.194370638764743,38.831379476950026
2,cy_left,-50.0,18.300838801075145,18.300838801075145,0.0
3,cy_right,-60.0,18.300838801075145,16.400465121817177,10.384079658394256
4,fx_left,20.0,18.300838801075145,9.677448504373421,47.12019154113916
5,fx_right,-20.0,18.300838801075145,9.932054738222586,45.72896441424808
6,fy_left,-40.0,18.300838801075145,18.20089155479424,0.546134783040838
7,fy_right,-30.0,18.300838801075145,18.243293506899306,0.3144407466856538
8,img1_x,16.0,18.300838801075145,11.293307560994402,38.29076533731919
9,img1_y,16.0,18.300838801075145,9.449275507183387,48.366981372305965
10,img2_x,-16.0,18.300838801075145,11.094789623983273,39.375513086692656
11,img2_y,16.0,18.300838801075145,9.48048316098147,48.19645556123632
12,omega_x,0.0004,18.300838801075145,18.327528857564584,-0.1458406184522604
13,omega_y,0.001,18.300838801075145,15.03364774598333,17.852684735411536
14,omega_z,0.0006000000000000001,18.300838801075145,16.5815137932242,9.394788001465468
15,ori_x,0.00390625,18.300838801075145,18.270082892266014,0.16805737236111495
16,ori_y,0.01171875,18.300838801075145,18.247362169320198,0.2922086377363491
17,ori_z,-0.0078125,18.300838801075145,18.273586547258986,0.14891259418424646
18,t12_x,0.01,18.300838801075145,15.72704086230473,14.063824979537051
19,t12_y,0.002,18.300838801075145,11.765644905048964,35.709805255714556
20,t12_z,0.01,18.300838801075145,16.695567545529887,8.77157201915221
