,Intensity
0,0.04047346467244658
1,0.054306058790401956
2,0.06946324021286401
3,0.08573936089246306
4,0.10292114803059234
5,0.1207699646354375
6,0.1390065106946698
7,0.15729957951014392
8,0.1752602045609931
9,0.19244216135384823
10,0.2083493484454486
11,0.2224500887777828
12,0.2341978959457785
13,0.24305777033936005
14,0.24853665686321577
15,0.25021633628937556
16,0.2477867593825284
17,0.2410776845161619
18,0.23008645689104618
19,0.2149998748609658
20,0.19620832299712693
21,0.1743107017901781
22,0.15010913289844952
23,0.124592943312991
24,0.09891200379522558
25,0.07434008539447136
26,0.05222947029487242
27,0.03395857756528309
28,0.02087481064623709
29,0.014235175485174454
30,0.015147435332226296
31,0.024514646037610784
32,0.042985847319775394
33,0.07091547176889608
34,0.10833368301185138
35,0.15492938361444847
36,0.2100470646669518
37,0.27269803076250504
38,0.34158585836300903
39,0.4151452667502248
40,0.4915929337057014
41,0.5689882061570122
42,0.645301169461448
43,0.718485173131221
44,0.7865506848023083
45,0.8476372700502914
46,0.9000805773222881
47,0.9424714407544655
48,0.9737045870573109
49,0.9930149268086853
50,1.0
51,0.9946278002659531
52,0.977229888373794
53,0.9484803882635254
54,0.9093621036254399
55,0.861121567311904
56,0.8052153113813658
57,0.7432499992703602
58,0.6769192771027001
59,0.6079402695453523
60,0.5379925658404433
61,0.4686623204781363
62,0.40139374464295674
63,0.33744980987904305
64,0.27788345058759184
65,0.22351996713551095
66,0.1749507289038984
67,0.13253768938581897
68,0.09642768495118446
69,0.066575023568
70,0.042770503438070956
71,0.02467475213437502
72,0.011853655576367021
73,0.0038136568439436406
74,3.484371519753679e-05
75,0.0
76,0.0032181517848686525
77,0.0092415726666877
78,0.01767569485895581
79,0.028181876059171947
