,Intensity
0,0.021890329710162453
1,0.029389388122522443
2,0.0378762951724417
3,0.04743808596400497
4,0.05818644162749398
5,0.07023788945004636
6,0.08369450005014265
7,0.09862643646408964
8,0.11505756651719257
9,0.1329551336031876
10,0.15222420519187152
11,0.1727072996263162
12,0.19418924910756663
13,0.21640701060712356
14,0.23906380740347336
15,0.2618466916365672
16,0.2844463802420267
17,0.3065780472904184
18,0.3280016656100291
19,0.34854048556823153
20,0.3680963200871259
21,0.38666046846307955
22,0.40431934866628505
23,0.4212542055359692
24,0.43773460409482484
25,0.45410578385072214
26,0.47077032060790075
27,0.4881648957145346
28,0.5067332883337266
29,0.5268969656640424
30,0.5490248334512157
31,0.5734038128898526
32,0.6002119229277914
33,0.6294954668545228
34,0.6611517518188853
35,0.6949185175360029
36,0.7303709284782346
37,0.7669266088207864
38,0.8038587909220035
39,0.8403172277705386
40,0.8753561100824198
41,0.9079678516623502
42,0.9371212827563666
43,0.9618025382141614
44,0.9810567594606393
45,0.9940286561922906
46,1.0
47,0.998422247132248
48,0.9889427054448294
49,0.9714229603674505
50,0.9459486411985399
51,0.9128300233844855
52,0.8725934032447464
53,0.825963626042619
54,0.7738385733450491
55,0.7172567992719109
56,0.657359827727519
57,0.5953508675298566
58,0.532451857153122
59,0.4698608080313198
60,0.40871137268770197
61,0.35003642431945703
62,0.29473720597231784
63,0.24355930285327393
64,0.19707632738445022
65,0.15568180307434698
66,0.11958931190936467
67,0.0888405532565383
68,0.06332057227165849
69,0.042779072932726425
70,0.026856452725783124
71,0.015112996666755285
72,0.007059557287304
73,0.002188029063144137
74,0.0
75,3.212412293094043e-05
76,0.001876996119627748
77,0.005198608926344093
78,0.009741818882252042
79,0.015335611197318362
