,Intensity
0,0.0014830523206727849
1,0.0011833596285865478
2,0.0006547286831111861
3,0.00014237436676654158
4,0.0
5,0.0006577271272507197
6,0.0025859889247549883
7,0.0062576982539819855
8,0.012111068431788505
9,0.020515393368740246
10,0.03174188875633782
11,0.04594136990540699
12,0.06313011391046783
13,0.08318474901340707
14,0.1058464616450907
15,0.1307342435681772
16,0.15736635061233012
17,0.18518864247515704
18,0.21360804896340124
19,0.24202908645578147
20,0.2698911480610926
21,0.29670422383304085
22,0.32208077784770234
23,0.34576171350637636
24,0.3676346860231866
25,0.38774345360023504
26,0.4062874721681507
27,0.42361150397703123
28,0.44018559588076284
29,0.4565763556796026
30,0.4734109817353731
31,0.49133595199066443
32,0.5109726273272184
33,0.532872250263524
34,0.5574729094219527
35,0.5850609866270388
36,0.6157394084837284
37,0.649404697250386
38,0.6857343735693444
39,0.7241857294353474
40,0.7640063921828534
41,0.8042564714451365
42,0.8438414550881175
43,0.8815544312052668
44,0.9161256937055996
45,0.9462773675559131
46,0.9707803898773607
47,0.9885110218730538
48,0.9985040535524313
49,1.0
50,0.9924838679856598
51,0.9757134807383484
52,0.9497358654040279
53,0.9148908049215294
54,0.8718013022194341
55,0.8213513655225771
56,0.7646521640877526
57,0.7029981898682075
58,0.6378155613577374
59,0.5706049947139615
60,0.5028822237708467
61,0.4361187614286961
62,0.37168585471652904
63,0.3108042972570515
64,0.25450243660667693
65,0.20358426805206173
66,0.15860896536519614
67,0.11988259223138983
68,0.0874620984704774
69,0.061171067287120476
70,0.04062607785809374
71,0.025272013701041214
72,0.014424209693751291
73,0.007315012137007927
74,0.0031421430489815875
75,0.0011162206176639595
76,0.0005048931516532194
77,0.0006712867417117437
78,0.001104832444973886
79,0.0014430057303739623
