,Intensity
0,0.0428693042052892
1,0.04785765171535014
2,0.05205995889605943
3,0.05567815778512447
4,0.0590272007989709
5,0.06250398544059481
6,0.06655258732226682
7,0.07162802953549277
8,0.07816085384441637
9,0.08652466509777021
10,0.09700860116725292
11,0.10979635017355636
12,0.12495291454868997
13,0.1424198325101705
14,0.16201904039371245
15,0.18346502468649895
16,0.20638440154839044
17,0.23034160371956944
18,0.25486897652808105
19,0.27949930819051055
20,0.30379866088895957
21,0.32739733762201967
22,0.3500169177149398
23,0.37149151588714485
24,0.3917817535563046
25,0.41098035782510234
26,0.42930879918826675
27,0.4471049152228676
28,0.4648020137412372
29,0.48290047371682393
30,0.501933335391509
31,0.5224277647313921
32,0.544864568510679
33,0.5696381070916299
34,0.5970189913990702
35,0.627121854918395
36,0.6598802645755468
37,0.6950304872485079
38,0.7321053793604387
39,0.7704391392835666
40,0.809183084445421
41,0.8473320183727592
42,0.8837601700104889
43,0.9172651505800291
44,0.9466179117819078
45,0.9706163291622775
46,0.988139796450126
47,0.9982021146173841
48,1.0
49,0.9929547180286086
50,0.976744664264631
51,0.9513271466089022
52,0.9169481494493676
53,0.8741394546592625
54,0.8237031245529228
55,0.7666839849348344
56,0.7043313487897839
57,0.6380517610926119
58,0.5693549941068851
59,0.4997958566904625
60,0.43091458296906715
61,0.36417862479860547
62,0.3009285858872475
63,0.24233080825644182
64,0.18933876637155686
65,0.1426649600807622
66,0.10276444954808174
67,0.06983057313299011
68,0.04380276492307757
69,0.024385775665531868
70,0.011079031685349872
71,0.0032143709948848614
72,0.0
73,0.0005682382476683773
74,0.004024476163026608
75,0.009494767969004808
76,0.016169617595018074
77,0.023341780448041596
78,0.03043628251333347
79,0.037031328344201905
