,Intensity
0,0.18760042431712592
1,0.15814301149784882
2,0.12978959622599243
3,0.10311053109006212
4,0.07865669387897233
5,0.05692966362320664
6,0.03835477607566707
7,0.02325865279707458
8,0.011852531480702148
9,0.004222382454727803
10,0.00032639700323085295
11,0.0
12,0.00296809701378479
13,0.008863839710030906
14,0.017252807350895336
15,0.027661178546685896
16,0.03960622472017378
17,0.05262730906581021
18,0.06631553085445141
19,0.08034021766892865
20,0.09447063448341948
21,0.10859153951539965
22,0.1227115582305488
23,0.13696374995166635
24,0.1515981838693297
25,0.1669667982403475
26,0.18350126263158
27,0.20168497315622477
28,0.22202066158170808
29,0.24499537096962487
30,0.27104472744647196
31,0.3005185092921083
32,0.3336494760469764
33,0.37052727311778155
34,0.41107897875158855
35,0.4550575232186964
36,0.5020388024866519
37,0.5514278524270199
38,0.6024739692796253
39,0.6542941837313807
40,0.7059040455653692
41,0.756254277982705
42,0.8042715371914941
43,0.8489012815049434
44,0.8891506278379036
45,0.9241290593030212
46,0.9530849466707388
47,0.9754360537121991
48,0.9907925009559767
49,0.9989710479391812
50,1.0
51,0.9941145281418575
52,0.9817426836233849
53,0.9634828662519477
54,0.9400739413179086
55,0.9123595714078928
56,0.8812486162227866
57,0.8476736408560224
58,0.8125496510481282
59,0.7767351389661457
60,0.740997377450264
61,0.705983652820222
62,0.6721997901681463
63,0.6399969192695063
64,0.6095669762299681
65,0.580946960649602
66,0.5540314964381947
67,0.5285928021506819
68,0.5043067877977926
69,0.4807836804526433
70,0.4576013573664776
71,0.43433944438221345
72,0.4106122251320315
73,0.38609850273641927
74,0.3605667543957869
75,0.33389420864290825
76,0.306078838386564
77,0.27724367946732514
78,0.2476333306339747
79,0.21760294144972436
