,Intensity
0,0.007006546493159128
1,0.01112416936392768
2,0.01560326166179552
3,0.02032264727358377
4,0.02528855618751884
5,0.030621055860996303
6,0.03653354557261421
7,0.043306814076870384
8,0.05125945266388893
9,0.060716599587851965
10,0.07197905813503637
11,0.08529477642427553
12,0.10083450628456594
13,0.11867318175593612
14,0.13877819142783346
15,0.16100528453449198
16,0.18510237386804063
17,0.21072100693514056
18,0.23743479897991232
19,0.2647636853315326
20,0.2922024814485073
21,0.319251958651472
22,0.3454504684562772
23,0.37040408925339746
24,0.3938133298525062
25,0.4154946023163221
26,0.4353949620496971
27,0.4535989906190058
28,0.47032714527377606
29,0.4859253935000268
30,0.5008464632735697
31,0.5156235409268284
32,0.5308377100471457
33,0.5470808199772461
34,0.5649157782106535
35,0.5848364590277964
36,0.6072294987436518
37,0.632340200175016
38,0.660244596577715
39,0.6908294364670715
40,0.7237814600432239
41,0.7585868657567578
42,0.7945413368689382
43,0.8307704409704864
44,0.8662596603561876
45,0.8998927880470268
46,0.9304969616992137
47,0.9568922311143548
48,0.9779432855186989
49,0.9926108194788675
50,1.0
51,0.9994036137081547
52,0.9903377166075181
53,0.9725679674100958
54,0.9461252803328379
55,0.9113099607927505
56,0.8686840599104492
57,0.8190522710131831
58,0.7634322624484842
59,0.7030158658721138
60,0.6391229901384475
61,0.5731504843511821
62,0.5065184111363301
63,0.4406163006258733
64,0.3767519317271314
65,0.3161050318989955
66,0.25968800880181936
67,0.20831544231311278
68,0.1625835946669756
69,0.12286066555659372
70,0.0892879567147349
71,0.06179154706408305
72,0.040103545184111924
73,0.023791508980059675
74,0.012294228152022527
75,0.004961773768299652
76,0.0010975456011969125
77,0.0
78,0.001001820117233663
79,0.003504490452625016
