,Intensity
0,0.0014166181724678225
1,0.0023344125869867796
2,0.0033052106994970487
3,0.0044281580579058795
4,0.005916435298005424
5,0.008073513149812719
6,0.011264286801354806
7,0.015882998597281813
8,0.022320014967432345
9,0.03092955901480333
10,0.04200041316277655
11,0.055731402418000925
12,0.07221316048818344
13,0.0914172864222924
14,0.1131935416786263
15,0.1372752431753151
16,0.16329250557385686
17,0.19079250484608914
18,0.21926550291532243
19,0.24817501489282634
20,0.2769902369997193
21,0.30521870013936314
22,0.33243708047833515
23,0.3583181867305668
24,0.3826523496119486
25,0.40536175094049387
26,0.4265066308192668
27,0.4462827788522517
28,0.46501022312274026
29,0.4831135500112464
30,0.5010947893300804
31,0.5195002540281137
32,0.5388831056391122
33,0.5597637034005362
34,0.5825899694316338
35,0.6077000535673995
36,0.6352895052378947
37,0.6653849590637468
38,0.6978260254484748
39,0.7322566636509494
40,0.7681268244345171
41,0.8047046086071277
42,0.8410986257320348
43,0.876289684503466
44,0.9091704329354372
45,0.9385911208216228
46,0.9634093035809451
47,0.9825410654055121
48,0.9950112243816456
49,1.0
50,0.996883774076804
51,0.9852678522586055
52,0.9650095208578866
53,0.9362301725948226
54,0.8993158197631829
55,0.8549058956476037
56,0.8038708338929751
57,0.7472794797769168
58,0.6863578970810514
59,0.6224415625382897
60,0.5569232640800499
61,0.49119922235327373
62,0.4266160267768871
63,0.3644209143948138
64,0.30571772584136303
65,0.25143055877482456
66,0.20227672248518466
67,0.15875010083171096
68,0.12111548121493693
69,0.08941383466070037
70,0.06347796711709303
71,0.042957434982038904
72,0.027351156701571483
73,0.016045781269101635
74,0.008357612813309852
75,0.003575751296435995
76,0.0010040989820232766
77,0.0
78,7.518241903920429e-06
79,0.0005837026046885121
