,Intensity
0,0.0023604631411638043
1,0.006268969145949125
2,0.011362896870323576
3,0.017251255082657995
4,0.023624791372652373
5,0.030262097887608242
6,0.03703056862528841
7,0.04388248275323144
8,0.050846741044246274
9,0.05801699815313327
10,0.06553710089725315
11,0.07358485357578198
12,0.0823551805739304
13,0.09204374249689844
14,0.10283198689892988
15,0.11487448380220279
16,0.12828921823208728
17,0.14315129813297764
18,0.1594902994154866
19,0.17729122486332052
20,0.19649881489772605
21,0.21702472998655248
22,0.23875693973341444
23,0.261570513303163
24,0.2853389181009861
25,0.3099449036746416
26,0.3352900773981743
27,0.3613023658527881
28,0.38794069578157186
29,0.41519641276996916
30,0.44309117347405513
31,0.47167128533394587
32,0.5009987120490386
33,0.5311391989541729
34,0.5621481855018138
35,0.5940553491948113
36,0.6268487553541459
37,0.6604596614797245
38,0.6947490382159061
39,0.7294968190627632
40,0.7643947795665889
41,0.7990437788961217
42,0.8329558808617292
43,0.8655616187904442
44,0.8962223926910512
45,0.9242477027894509
46,0.9489166464282918
47,0.9695028509632937
48,0.9853017980782176
49,0.9956593274544586
50,1.0
51,0.9978539597643648
52,0.9888809626153567
53,0.9728903383595092
54,0.9498558171325328
55,0.9199243728907804
56,0.8834185058623462
57,0.840831688422501
58,0.7928170197119574
59,0.7401694570045977
60,0.6838022997378791
61,0.6247188793147344
62,0.5639806398778987
63,0.5026729701670845
64,0.4418702551786801
65,0.3826016529916449
66,0.32581906489157525
67,0.2723686577740486
68,0.22296712243934233
69,0.17818361896580084
70,0.1384280829720656
71,0.10394625866926518
72,0.07482150210503193
73,0.05098307753277717
74,0.03222036781007731
75,0.018202151455571126
76,0.00849987789477048
77,0.0026137093081584958
78,0.0
79,9.885641266842232e-05
