frame,yaw,pitch,roll,q0,q1,q2,q3,lat,lon
frame0,0.2757155563398234,-1.5579279358122522,0.07648829587846086,0.70068359375,-0.6990966796875,-0.06951904296875,0.12432861328125,32.881098916666666,-117.23469898333333
frame1,0.8234558148773088,-1.5439907257266863,0.053586405501732416,0.64892578125,-0.646728515625,-0.261474609375,0.30377197265625,32.88098465,-117.23464968333333
frame2,1.4986399599287856,-1.5452931452807988,0.0319495909801871,0.5166015625,-0.518798828125,-0.467041015625,0.495849609375,0.0,0.0
frame3,2.0491152179592804,-1.554128419790667,0.01969757644586594,0.36444091796875,-0.3702392578125,-0.59552001953125,0.61279296875,0.0,0.0
frame4,2.6474415764055164,-1.5659420426552666,0.01680029982845838,0.1676025390625,-0.17828369140625,-0.6824951171875,0.688720703125,0.0,0.0
frame5,-2.856619279959936,-1.5967271686007212,0.021074573511361293,-0.1065673828125,0.10223388671875,-0.7099609375,0.689697265625,0.0,0.0
frame6,-2.485603767440571,-1.6030231099033603,0.02567334862539483,-0.2327880859375,0.22296142578125,-0.6829833984375,0.655517578125,32.8811713,-117.2346701
frame7,-1.914984541941073,-1.6139745043729952,0.04399573650654154,-0.4110107421875,0.40313720703125,-0.59918212890625,0.55633544921875,32.8811713,-117.2346701
frame8,-1.3261478859901097,-1.6114864504691455,0.05606424346352787,-0.55804443359375,0.55633544921875,-0.45916748046875,0.41021728515625,32.8811713,-117.2346701
frame9,-0.7326807931722384,-1.5820790065034662,0.0817907349170502,-0.66632080078125,0.65301513671875,-0.28131103515625,0.2244873046875,0.0,0.0
frame10,-0.08830565134457351,-1.5684086708269875,0.08592798844764815,-0.7078857421875,0.70361328125,-0.0615234375,0.0008544921875,32.88115573333333,-117.23468861666667
frame11,0.34721277295640357,-1.5520660616539026,0.07087016472005031,-0.6981201171875,0.6939697265625,0.09600830078125,-0.14764404296875,32.881149883333336,-117.23468733333333
