timestamp,longitude,latitude,altitude
1724816668425.018,0,0,0
1724816669685.528,32.8806122,-117.23332568333333,129.938
1724816670945.428,32.88117808333333,-117.23516316666667,100.333
1724816672205.208,32.88117681666667,-117.23516196666667,100.385
1724816673464.544,32.881178883333334,0.0,None
1724816674734.015,32.881178883333334,-117.23516183333334,None
1724816675993.3281,32.88117915,-117.23516076666667,100.309
1724816677282.909,32.88117915,-117.23516076666667,100.309
1724816678568.737,32.881180283333336,-117.23516076666667,100.306
1724816679843.436,32.88118001666667,-117.23516051666667,None
1724816681122.179,32.88118001666667,-117.23516051666667,None
1724816682401.156,32.88118001666667,-117.23516051666667,None
1724816684248.018,32.88118263333333,-117.23516051666667,None
1724816685888.297,32.88118295,-117.23516233333334,None
1724816687165.678,32.88118395,0.0,100.345
1724816688446.728,32.88118346666667,-117.23516268333333,100.353
1724816689727.0168,32.881184483333335,-117.23516451666667,100.353
1724816691059.541,32.88118368333333,-117.2351632,100.353
1724816692344.658,32.88118368333333,-117.2351632,100.353
1724816693624.625,32.88118368333333,-117.2351632,100.353
1724816694904.8418,32.88118446666667,-117.2351652,100.418
1724816696235.7979,32.881184366666666,-117.23516525,100.447
1724816697521.03,32.881185083333335,-117.23516565,100.407
1724816699082.794,32.88118551666667,-117.23516521666667,100.407
1724816700358.9128,32.88118586666667,-117.23516635,100.389
1724816701637.6519,32.88118586666667,-117.23516635,100.389
1724816702916.5498,32.881186033333336,-117.2351666,100.436
1724816704196.8638,32.88118613333333,0.0,None
1724816705476.37,32.88118613333333,-117.23516623333333,None
1724816706757.169,32.881186066666665,-117.23516515,100.523
1724816708040.277,32.881126333333334,-117.23503831666666,101.593
1724816709319.68,32.88112231666667,-117.23502738333333,101.675
1724816710599.2551,0.0,0.0,None
1724816711878.687,32.88112041666667,-117.23501638333333,None
1724816713440.907,32.881108266666665,-117.23499506666667,101.916
1724816714719.77,32.881108266666665,-117.23499506666667,101.916
1724816715998.544,32.881105766666664,0.0,None
1724816717276.738,32.881105766666664,-117.23498726666666,None
1724816718556.097,32.88110701666667,0.0,102.052
1724816719834.72,32.8811054,-117.23497523333333,102.123
1724816721093.983,32.881106366666664,-117.23496955,102.235
1724816722612.479,32.88110465,-117.23495871666667,102.3
1724816723678.171,32.88110465,-117.23495871666667,102.3
1724816725194.428,32.88110465,-117.23495871666667,102.3
1724816726711.175,32.88110465,-117.23495871666667,102.3
1724816728230.009,0.0,0.0,102.274
1724816729746.644,32.88111356666667,-117.23493843333334,102.373
1724816731265.262,32.88111416666667,-117.23492985,102.436
1724816732783.499,32.881107166666666,-117.23490981666667,102.0
1724816734300.476,0.0,0.0,None
1724816735816.191,0.0,0.0,None
1724816737332.4102,0.0,0.0,None
1724816738850.2222,32.88107805,-117.23487386666666,103.012
1724816740880.375,0.0,0.0,None
1724816742396.624,32.88106331666667,-117.23487831666667,None
1724816743915.4102,0.0,0.0,103.309
1724816745433.1118,32.88106045,-117.23488471666667,103.338
