frame,timestamp
frame1,1725074129418.2488
frame2,1725074130348.594
frame3,1725074130680.645
frame4,1725074131015.322
frame5,1725074131347.689
frame6,1725074131680.0898
frame7,1725074132017.304
frame8,1725074132346.676
frame9,1725074132680.387
frame10,1725074133013.0898
frame11,1725074133348.063
frame12,1725074133680.106
frame13,1725074134012.4631
frame14,1725074134346.484
frame15,1725074134678.931
frame16,1725074135012.875
frame17,1725074135411.864
frame18,1725074135745.7
frame19,1725074136080.731
frame20,1725074136412.394
frame21,1725074136747.962
frame22,1725074137078.402
frame23,1725074137412.7869
frame24,1725074137745.097
frame25,1725074138077.406
frame26,1725074138412.202
frame27,1725074138743.748
frame28,1725074139078.326
frame29,1725074139410.1
frame30,1725074139744.976
frame31,1725074140076.459
frame32,1725074140411.397
frame33,1725074140743.012
frame34,1725074141078.3801
frame35,1725074141409.431
frame36,1725074141743.1692
frame37,1725074142080.323
frame38,1725074142409.6018
frame39,1725074142742.978
frame40,1725074143075.844
frame41,1725074143411.447
frame42,1725074143742.474
frame43,1725074144075.0361
frame44,1725074144411.436
frame45,1725074144740.857
frame46,1725074145077.789
frame47,1725074145429.5461
