Time,Intensity,Voltage
0.0001,0.97747488,0.43751257
0.00011,0.98752513,0.33701006
0.00012,0.98953518,0.13600503
0.00013000000000000002,0.97345478,0.48776383
0.00014,0.98149498,0.43751257
0.00015,0.95938443,0.48776383
0.00016,0.98953518,0.73902011
0.00017,0.94330403,0.73902011
0.00018,0.94933418,0.6385175999999999
0.00019,0.95938443,0.53801508
0.0002,0.95737438,0.53801508
0.00021,0.95335428,0.53801508
0.00022,0.94933418,0.6385175999999999
0.00023,0.92722363,0.73902011
0.00024,0.96541458,0.73902011
0.00025,0.95134423,0.58826634
0.00026000000000000003,0.95335428,0.73902011
0.00027,0.93526383,0.88977388
0.00028,0.92521358,0.73902011
0.00029,0.91114322,0.88977388
0.0003,0.90511307,0.83952262
0.00031,0.89908292,1.04052765
0.00032,0.90109297,0.94002514
0.00033,0.88903267,1.09077891
0.00034,0.90511307,0.94002514
0.00035,0.92320353,0.99027639
0.00036,0.89305277,1.14103016
0.00037,0.90511307,1.19128142
0.00038,0.89707287,1.24153268
0.00039,0.87697237,1.09077891
0.0004,0.90109297,1.34203519
0.00041,0.89305277,1.29178393
0.00042,0.87295227,1.34203519
0.00043,0.89104272,1.19128142
0.00044,0.89305277,1.34203519
0.00045,0.86290202,1.19128142
0.00046,0.86491207,1.34203519
0.00047,0.87898242,1.39228645
0.00048,0.88501257,1.54304022
0.00049,0.85285177,1.34203519
0.0005,0.86491207,1.64354273
0.0005099999999999999,0.87094222,1.74404524
0.0005200000000000001,0.87697237,1.74404524
0.00053,0.83476132,1.69379399
0.00054,0.85285177,1.64354273
0.00055,0.83476132,1.74404524
0.00056,0.85285177,1.74404524
0.00057,0.82471106,1.74404524
0.00058,0.82471106,1.94505027
0.00059,0.85285177,1.7942965
0.0006,0.86089197,1.94505027
0.00061,0.83878142,2.1460553
0.00062,0.82873116,2.04555278
0.00063,0.82471106,1.89479901
0.00064,0.80461056,2.1460553
0.00065,0.81667086,2.1460553
