Folder_Name,Name,Bulb/Sensor Distance (cm),Company Name,Manufactured in Country,Price/Unit,Bulb_Type,Labeled Wattage,Recorded Wattage,Recorded Current,Oscilloscope Resolution (Volts/Division),Lux (40cm),Notes:
sylvania_led_13w,Sylvania LED 13W,40,Sylvania,USA,8.69,LED,13,11.8,0.1,0.2,2.32k,
sylvania_led_23w,Sylvania LED 23W,40,Sylvania,USA,15.99,LED,23,19.4,0.17,0.2,2.01k,
tcp_led_9p5w,TCP LED 9.5W,40,TCP,USA,7.29,LED,9.5,8.9,0.11,0.2,633.86,
westinghouse_cfl_13w,Westinghouse CFL 13W,30,Westinghouse,USA,3.99,CFL,13,10.3,0.2,0.2,422.98,
westinghouse_cfl_18w,Westinghouse CFL 18W,30,Westinghouse,USA,4.49,CFL,18,12.9,0.24,0.2,667.95,
westinghouse_cfl_23w,Westinghouse CFL 23W,30,Westinghouse,USA,4.19,CFL,23,17.2,0.35,0.2,688.86,
westinghouse_halogen_72w,Westinghouse Halogen 72W,50,Westinghouse,USA,2.5,Halogen,72,69.2,0.59,0.2,1.23k,
westinghouse_incandescent_60w_clear,Westinghouse Incandescent 60W (Clear),40,Westinghouse,USA,1.49,Incandescent,60,54.8,0.47,0.2,468.58,
westinghouse_incandescent_60w_white,Westinghouse Incandescent 60W (White),40,Westinghouse,USA,1.29,Incandescent,60,58.8,0.5,0.2,417.97,
westinghouse_led_5p5w,Westinghouse LED 5.5W,N/A,Westinghouse,USA,4.69,LED,5.5,4.8,0.09,0.2,383.06,No waveform data
westinghouse_led_8w,Westinghouse LED 8W,40,Westinghouse,USA,7.49,LED,8,8.5,0.08,0.2,1.58k,lux decays with time(?)
westinghouse_led_9w,Westinghouse LED 9W,40,Westinghouse,USA,4.99,LED,9,8.2,0.09,0.2,597.03,
westinghouse_led_11w,Westinghouse LED 11W,40,Westinghouse,USA,3.99,LED,11,8.7,0.16,0.2,883.35,lux decays with time(?)
westinghouse_led_15p5w,Westinghouse LED 15.5W,40,Westinghouse,USA,5.89,LED,15.5,15.2,0.14,0.2,1.66k,lux decays with time(?)
westinghouse_led_16p5w,Westinghouse LED 16.5W,40,Westinghouse,USA,11.99,LED,16.5,14.5,0.13,0.2,2.76k,
